"site.ID","sites.sitename","network","alt.names","super.site","city","state","country","lat","lon","masl","geography.notes","mat","min.temp","max.temp","map","climate.notes","soil.texture","sand","silt","clay","soil.classification","soil.notes","hydrology.notes","site.notes","geographic.area","biogeog","Koeppen","FAO.ecozone","site.ID.v1","measurement.refs","site.ref","ref.notes","lacks.info.from.ori.pub","loaded.from","loaded.by","potential_duplicate_group","potential_duplicate_group_parsed","confirmed.unique","potential_duplicate_group_manual","duplicate.notes","NEW_RECORD","GROA.site.ID"
3436,"Cofre de Perote.1",NA,NA,NA,"NAC","Veracruz","Mexico",19.441111,-97.1225,"3250",NA,"12.5","NAC","NAC","600",NA,"NAC","NAC","NAC","NAC","Andosols",NA,NA,"GROA site.id #3871",NA,NA,NA,NA,NA,"Mendoza-Ponce_2010_aabb",NA,NA,0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",NA,NA,NA,NA,NA,TRUE,3871
3437,"eastern Iceland",NA,NA,NA,"NAC","","Iceland",65.208333,-15.15,"75",NA,"3.4","NAC","NAC","738",NA,"","NaN","NaN","NaN","Andosols",NA,NA,"GROA site.id #3897",NA,NA,NA,NA,NA,"Sigurdsson_2005_baco",NA,NA,0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",NA,NA,NA,NA,NA,TRUE,3897
3438,"Perloja Experimental Station",NA,NA,NA,"NAC","","Lithuania",54.166667,24.416667,"110",NA,"6.2","NAC","NAC","682",NA,"","NaN","NaN","NaN","arenosols",NA,NA,"GROA site.id #3140",NA,NA,NA,NA,NA,"Armolaitis_2007_csan",NA,NA,0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",NA,NA,NA,NA,NA,TRUE,3140
3439,"JFL01-8901",NA,NA,NA,"NAC","Hainan","China",18.738117,108.870683,"869",NA,"19.786","NAC","NAC","2786.043412",NA,"","NaN","NaN","NaN","Brick yellow soil",NA,NA,"GROA site.id #14102",NA,NA,NA,NA,NA,"Xu_2015_proa",NA,NA,0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",NA,NA,NA,NA,NA,TRUE,14102
3440,"JFL01-3",NA,NA,NA,"NAC","Hainan","China",18.743333,108.86935,"831",NA,"20.014","NAC","NAC","2692.550741",NA,"","NaN","NaN","NaN","Brick yellow soil",NA,NA,"GROA site.id #14104",NA,NA,NA,NA,NA,"Xu_2015_proa",NA,NA,0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",NA,NA,NA,NA,NA,TRUE,14104
3441,"JFL01-4",NA,NA,NA,"NAC","Hainan","China",18.7345,108.869567,"913",NA,"19.522","NAC","NAC","2898.361092",NA,"","NaN","NaN","NaN","Brick yellow soil",NA,NA,"GROA site.id #14105",NA,NA,NA,NA,NA,"Xu_2015_proa",NA,NA,0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",NA,NA,NA,NA,NA,TRUE,14105
3442,"JFL01-5",NA,NA,NA,"NAC","Hainan","China",18.743667,108.879083,"853",NA,"19.882","NAC","NAC","2746.288777",NA,"","NaN","NaN","NaN","Brick yellow soil",NA,NA,"GROA site.id #14106",NA,NA,NA,NA,NA,"Xu_2015_proa",NA,NA,0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",NA,NA,NA,NA,NA,TRUE,14106
3443,"JFL01-6",NA,NA,NA,"NAC","Hainan","China",18.743333,108.850817,"927",NA,"19.438","NAC","NAC","2935.039554",NA,"","NaN","NaN","NaN","Brick yellow soil",NA,NA,"GROA site.id #14107",NA,NA,NA,NA,NA,"Xu_2015_proa",NA,NA,0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",NA,NA,NA,NA,NA,TRUE,14107
3444,"JFL01-7",NA,NA,NA,"NAC","Hainan","China",18.734617,108.860367,"943",NA,"19.342","NAC","NAC","2977.526501",NA,"","NaN","NaN","NaN","Brick yellow soil",NA,NA,"GROA site.id #14108",NA,NA,NA,NA,NA,"Xu_2015_proa",NA,NA,0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",NA,NA,NA,NA,NA,TRUE,14108
3445,"JFL01-9201",NA,NA,NA,"NAC","Hainan","China",18.729717,108.88995,"893",NA,"19.642","NAC","NAC","2846.756984",NA,"","NaN","NaN","NaN","Brick yellow soil",NA,NA,"GROA site.id #14110",NA,NA,NA,NA,NA,"Xu_2015_proa",NA,NA,0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",NA,NA,NA,NA,NA,TRUE,14110
3446,"JFL01-10",NA,NA,NA,"NAC","Hainan","China",18.7529,108.897983,"820",NA,"20.08","NAC","NAC","2666.077338",NA,"","NaN","NaN","NaN","Brick yellow soil",NA,NA,"GROA site.id #14111",NA,NA,NA,NA,NA,"Xu_2015_proa",NA,NA,0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",NA,NA,NA,NA,NA,TRUE,14111
3447,"JFL01-11",NA,NA,NA,"NAC","Hainan","China",18.7525,108.878933,"883",NA,"19.702","NAC","NAC","2821.300505",NA,"","NaN","NaN","NaN","Brick yellow soil",NA,NA,"GROA site.id #14112",NA,NA,NA,NA,NA,"Xu_2015_proa",NA,NA,0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",NA,NA,NA,NA,NA,TRUE,14112
3448,"JFL01-12",NA,NA,NA,"NAC","Hainan","China",18.761483,108.879017,"968",NA,"19.192","NAC","NAC","3045.146954",NA,"","NaN","NaN","NaN","Brick yellow soil",NA,NA,"GROA site.id #14113",NA,NA,NA,NA,NA,"Xu_2015_proa",NA,NA,0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",NA,NA,NA,NA,NA,TRUE,14113
3449,"JFL01-13",NA,NA,NA,"NAC","Hainan","China",18.77065,108.87885,"973",NA,"19.162","NAC","NAC","3058.854221",NA,"","NaN","NaN","NaN","Brick yellow soil",NA,NA,"GROA site.id #14114",NA,NA,NA,NA,NA,"Xu_2015_proa",NA,NA,0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",NA,NA,NA,NA,NA,TRUE,14114
3450,"JFL01-14",NA,NA,NA,"NAC","Hainan","China",18.75245,108.869317,"909",NA,"19.546","NAC","NAC","2887.965972",NA,"","NaN","NaN","NaN","Brick yellow soil",NA,NA,"GROA site.id #14115",NA,NA,NA,NA,NA,"Xu_2015_proa",NA,NA,0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",NA,NA,NA,NA,NA,TRUE,14115
3451,"JFL01-15",NA,NA,NA,"NAC","Hainan","China",18.752683,108.9072,"777",NA,"20.338","NAC","NAC","2565.064182",NA,"","NaN","NaN","NaN","Brick yellow soil",NA,NA,"GROA site.id #14116",NA,NA,NA,NA,NA,"Xu_2015_proa",NA,NA,0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",NA,NA,NA,NA,NA,TRUE,14116
