"citation.ID","citation.doi","citation.author","citation.year","citation.title","NEW_RECORD"
"Luan_2010_aoti","NAC","Luan",2010,"Assessments of the impacts of Chinese fir plantation and natural regenerated forest on soil organic matter quality at Longmen mountain, Sichuan, China",TRUE
"Zhang_2010_vcas","NAC","Zhang",2010,"Vegetation community and soil characteristics of abandoned agricultural land and pine plantation in the Qinling Mountains, China",TRUE
"Huang_2010_rora","NAC","Huang",2010,"Response of runoff and soil loss to reforestation and rainfall type in red soil region of southern China",TRUE
"Eaton_2009_locs","NAC","Eaton",2009,"Loss of carbon sequestration potential after several decades of shifting cultivation in the Southern Yucatan",TRUE
"Mitchell_2009_nfaa","NAC","Mitchell",2009,"N-2 fixing alder (Alnus viridis spp. fruticosa) effects on soil properties across a secondary successional chronosequence in interior Alaska",TRUE
"Kalinina_2009_sops","NAC","Kalinina",2009,"Self-restoration of post-agrogenic sandy soils in the southern Taiga of Russia: Soil development, nutrient status, and carbon dynamics",TRUE
"Yan_2009_tpon","NAC","Yan",2009,"Temporal patterns of net soil N mineralization and nitrification through secondary succession in the subtropical forests of eastern China",TRUE
"Marin-Spiotta_2009_somd","NAC","Marin-Spiotta",2009,"Soil organic matter dynamics during 80 years of reforestation of tropical pastures",TRUE
"Vargas_2009_eovt","NAC","Vargas",2009,"Effects of Vegetation Thinning on Above- and Belowground Carbon in a Seasonally Dry Tropical Forest in Mexico",TRUE
"van der Kamp_2009_sccu","NAC","van der Kamp",2009,"Soil carbon changes upon secondary succession in Imperata grasslands (East Kalimantan, Indonesia)",TRUE
"Tian_2008_mbaa","NAC","Tian",2008,"Microbial biomass and activity along a natural pH gradient in forest soils in a karst region of the upper Yangtze River, China",TRUE
"Zheng_2008_vocs","NAC","Zheng",2008,"Variation of carbon storage by different reforestation types in the hilly red soil region of southern China",TRUE
"Schedlbauer_2008_scdi","NAC","Schedlbauer",2008,"Soil carbon dynamics in a chronosequence of secondary forests in northeastern Costa Rica",TRUE
"Williams_2008_csab","NAC","Williams",2008,"Carbon sequestration and biodiversity of re-growing miombo woodlands in Mozambique",TRUE
"Yamashita_2008_scib","NAC","Yamashita",2008,"Soil changes induced by Acacia mangium plantation establishment: Comparison with secondary forest and Imperata cylindrica grassland soils in South Sumatra, Indonesia",TRUE
"Vasconcelos_2008_eosl","NAC","Vasconcelos",2008,"Effects of seasonality, litter removal and dry-season irrigation on litterfall quantity and quality in eastern Amazonian forest regrowth, Brazil",TRUE
"Ritter_2007_cnap","NAC","Ritter",2007,"Carbon, nitrogen and phosphorus in volcanic soils following afforestation with native birch (Betula pubescens) and introduced larch (Larix sibirica) in Iceland",TRUE
"Feldpausch_2007_sfgd","NAC","Feldpausch",2007,"Secondary forest growth deviation from chronosequence predictions in central Amazonia",TRUE
"Tschakert_2007_ilsa","NAC","Tschakert",2007,"Indigenous livelihoods, slash-and-burn agriculture, and carbon stocks in Eastern Panama",TRUE
"Armolaitis_2007_csan","NAC","Armolaitis",2007,"Carbon sequestration and nitrogen status in Arenosols following afforestation or following abandonment of arable land",TRUE
"Thuille_2006_cdis","NAC","Thuille",2006,"Carbon dynamics in successional and afforested spruce stands in Thuringia and the Alps",TRUE
"Blouin_2005_mdio","NAC","Blouin",2005,"Mechanical disturbance impacts on soil properties and lodgepole pine growth in British Columbia's central interior",TRUE
"Zheng_2005_hdra","NAC","Zheng",2005,"How different reforestation approaches affect red soil properties in southern China",TRUE
"Bautista-Cruz_2005_scds","NAC","Bautista-Cruz",2005,"Soil changes during secondary succession in a tropical montane cloud forest area",TRUE
"Monreal_2005_amfm","NAC","Monreal",2005,"A method for measuring above- and below-ground C stocks in hillside landscapes",TRUE
"Markewitz_2004_nlar","NAC","Markewitz",2004,"Nutrient loss and redistribution after forest clearing on a highly weathered soil in Amazonia",TRUE
"DeGryze_2004_socp","NAC","DeGryze",2004,"Soil organic carbon pool changes following land-use conversions",TRUE
"Kelliher_2004_ltcm","NAC","Kelliher",2004,"Limitations to carbon mineralization in litter and mineral soil of young and old ponderosa pine forests",TRUE
