site.id,study.id,site.sitename,site.state,site.country,lat_dec,long_dec,elevation,AMT,AMP,soil.classification
14181,12001,JFL01-80,Hainan,China,18.782833,108.941417,635,21.19,2257.892977,humid-thermo ferrralitic
14182,12001,JFL01-81,Hainan,China,18.7733,108.941017,566,21.604,2122.199073,humid-thermo ferrralitic
14183,12001,JFL01-82,Hainan,China,18.773717,108.921767,624,21.256,2235.693168,humid-thermo ferrralitic
14184,12001,JFL01-83,Hainan,China,18.782283,108.921967,841,19.954,2716.845516,Brick yellow soil
14185,12001,JFL01-84,Hainan,China,18.76465,108.969633,371,22.774,1781.212284,humid-thermo ferrralitic
14186,12001,JFL01-85,Hainan,China,18.7925,108.943183,898,19.612,2859.571229,Brick yellow soil
14187,12001,JFL01-86,Hainan,China,18.763783,108.921717,772,20.368,2553.569675,Brick yellow soil
14188,12001,JFL01-87,Hainan,China,18.773817,108.931667,645,21.13,2278.265852,humid-thermo ferrralitic
14189,12001,JFL01-88,Hainan,China,18.7907,108.921583,855,19.87,2751.226917,Brick yellow soil
14190,12001,JFL01-89,Hainan,China,18.800783,108.94075,771,20.374,2551.276962,Brick yellow soil
14191,12001,JFL01-90,Hainan,China,18.78235,108.903583,1032,18.808,3225.335999,Yellow earths
14192,12001,JFL01-91,Hainan,China,18.773683,108.903133,807,20.158,2635.125968,Brick yellow soil
14193,12001,JFL01-92,Hainan,China,18.78275,108.931783,608,21.352,2203.791596,humid-thermo ferrralitic
14194,12001,JFL01-93,Hainan,China,18.7728,108.91245,685,20.89,2361.612253,Brick yellow soil
14195,12001,JFL01-94,Hainan,China,18.790717,108.932233,896,19.624,2854.438624,Brick yellow soil
14196,12001,JFL01-95,Hainan,China,18.800217,108.931783,982,19.108,3083.682976,Brick yellow soil
14197,12001,JFL01-96,Hainan,China,18.7819,108.912617,881,19.714,2816.236591,Brick yellow soil
14198,12001,JFL01-97,Hainan,China,18.774633,108.9594,490,22.06,1982.157475,humid-thermo ferrralitic
14199,12001,JFL01-98,Hainan,China,18.764567,108.960583,419,22.486,1859.690672,humid-thermo ferrralitic
14200,12001,JFL01-99,Hainan,China,18.7729,108.979433,485,22.09,1973.275076,humid-thermo ferrralitic
14201,12001,JFL01-100,Hainan,China,18.755367,108.980117,315,23.11,1693.829967,humid-thermo ferrralitic
14202,12001,JFL01-101,Hainan,China,18.746717,108.9889,302,23.188,1674.165737,humid-thermo ferrralitic
14203,12001,JFL01-102,Hainan,China,18.755317,108.969567,304,23.176,1677.176077,humid-thermo ferrralitic
14204,12001,JFL01-103,Hainan,China,18.7242,108.927433,918,19.492,2911.407625,Brick yellow soil
14205,12001,JFL01-104,Hainan,China,18.716917,108.9226,741,20.554,2483.444524,Brick yellow soil
14206,12001,JFL01-105,Hainan,China,18.720383,108.934367,730,20.62,2459.027072,Brick yellow soil
14207,12001,JFL01-106,Hainan,China,18.709667,108.924183,686,20.884,2363.734523,Brick yellow soil
14208,12001,JFL01-107,Hainan,China,18.726317,108.933467,859,19.846,2761.12985,Brick yellow soil
14209,12001,JFL01-108,Hainan,China,18.709983,108.933083,765,20.41,2537.563849,Brick yellow soil
14210,12001,JFL01-109,Hainan,China,18.69205,108.933317,531,21.814,2056.517701,humid-thermo ferrralitic
14211,12001,JFL01-110,Hainan,China,18.700483,108.93305,587,21.478,2162.610571,humid-thermo ferrralitic
14212,12001,JFL01-111,Hainan,China,18.710167,108.942567,569,21.586,2127.925578,humid-thermo ferrralitic
14213,12001,JFL01-112,Hainan,China,18.7013,108.94305,448,22.312,1908.770667,humid-thermo ferrralitic
14214,12001,JFL01-113,Hainan,China,18.71895,108.95115,396,22.624,1821.66411,humid-thermo ferrralitic
14215,12001,JFL01-114,Hainan,China,18.710083,108.9506,409,22.546,1843.06081,humid-thermo ferrralitic
14216,12001,JFL01-115,Hainan,China,18.719367,108.94255,568,21.592,2126.015028,humid-thermo ferrralitic
14217,12001,JFL01-116,Hainan,China,18.692467,108.923333,597,21.418,2182.123718,humid-thermo ferrralitic
14218,12001,JFL01-117,Hainan,China,18.681617,108.895017,799,20.206,2616.257837,Brick yellow soil
14219,12001,JFL01-118,Hainan,China,18.68365,108.9034,737,20.578,2474.537523,Brick yellow soil
14220,12001,JFL01-119,Hainan,China,18.681983,108.913367,643,21.142,2274.176624,humid-thermo ferrralitic
14221,12001,JFL01-120,Hainan,China,18.683317,108.923317,704,20.776,2402.26318,Brick yellow soil
14222,12001,JFL01-121,Hainan,China,18.691483,108.878167,713,20.722,2421.762378,Brick yellow soil
14223,12001,JFL01-122,Hainan,China,18.690683,108.88605,786,20.284,2585.884837,Brick yellow soil
14224,12001,JFL01-123,Hainan,China,18.689733,108.893817,902,19.588,2869.864143,Brick yellow soil
14225,12001,JFL01-124,Hainan,China,18.69145,108.904533,862,19.828,2768.580435,Brick yellow soil
14226,12001,JFL01-125,Hainan,China,18.692117,108.914133,776,20.344,2562.761149,Brick yellow soil
14227,12001,JFL01-126,Hainan,China,18.700383,108.87575,802,20.188,2623.317501,Brick yellow soil
14228,12001,JFL01-127,Hainan,China,18.700767,108.894717,840,19.96,2714.406206,Brick yellow soil
14229,12001,JFL01-128,Hainan,China,18.7016,108.885933,945,19.33,2982.880432,Brick yellow soil
14230,12001,JFL01-129,Hainan,China,18.700617,108.92245,880,19.72,2813.708044,Brick yellow soil
14231,12001,JFL01-130,Hainan,China,18.700867,108.913633,977,19.138,3069.864447,Brick yellow soil
14232,12001,JFL01-131,Hainan,China,18.700617,108.9041,900,19.6,2864.713063,Brick yellow soil
14233,12001,JFL01-132,Hainan,China,18.700233,108.8665,791,20.254,2597.524806,Brick yellow soil
14234,12001,JFL01-133,Hainan,China,18.728583,108.942183,797,20.218,2611.561951,Brick yellow soil
14235,12001,JFL01-134,Hainan,China,18.7373,108.941717,714,20.716,2423.938702,Brick yellow soil
14236,12001,JFL01-135,Hainan,China,18.746417,108.9418,628,21.232,2243.740458,humid-thermo ferrralitic
14237,12001,JFL01-136,Hainan,China,18.75525,108.94125,709,20.746,2413.076604,Brick yellow soil
14238,12001,JFL01-137,Hainan,China,18.736933,108.931567,704,20.776,2402.26318,Brick yellow soil
14239,12001,JFL01-138,Hainan,China,18.746233,108.931967,648,21.112,2284.413485,humid-thermo ferrralitic
14240,12001,JFL01-139,Hainan,China,18.7294,108.951767,657,21.058,2302.956096,Brick yellow soil
14241,12001,JFL01-140,Hainan,China,18.753217,108.889,789,20.266,2592.862544,Brick yellow soil
14242,12001,JFL01-141,Hainan,China,18.73795,108.95185,753,20.482,2510.35835,Brick yellow soil
14243,12001,JFL01-142,Hainan,China,18.746233,108.950633,647,21.118,2282.362433,humid-thermo ferrralitic
14244,12001,JFL01-143,Hainan,China,18.754983,108.931667,714,20.716,2423.938702,Brick yellow soil
14245,12001,JFL01-144,Hainan,China,18.742883,108.8569,849,19.906,2736.439073,Brick yellow soil
14246,12001,JFL01-145,Hainan,China,18.762967,108.930483,774,20.356,2558.161284,Brick yellow soil
14247,12001,JFL01-146,Hainan,China,18.77395,108.882233,999,19.006,3131.132926,Brick yellow soil
14248,12001,JFL01-147,Hainan,China,18.763717,108.88275,956,19.264,3012.499601,Brick yellow soil
14249,12001,JFL01-148,Hainan,China,18.7216,108.83315,553,21.682,2097.561765,humid-thermo ferrralitic
14250,12001,JFL01-149,Hainan,China,18.73165,108.8725,958,19.252,3017.916418,Brick yellow soil
14251,12001,JFL01-150,Hainan,China,18.733867,108.842233,912,19.528,2895.75881,Brick yellow soil
14252,12001,JFL01-151,Hainan,China,18.754683,108.977,291,23.254,1657.705187,humid-thermo ferrralitic
14253,12001,JFL01-152,Hainan,China,18.742483,108.994333,261,23.434,1613.630715,humid-thermo ferrralitic
14254,12001,JFL01-0501,Hainan,China,18.732067,108.89625,871,19.774,2791.053034,Brick yellow soil
14255,12001,JFL01-0503,Hainan,China,18.753867,108.891433,781,20.314,2574.29703,Brick yellow soil
14256,12001,JFL01-0601,Hainan,China,18.743467,108.99255,261,23.434,1613.630715,humid-thermo ferrralitic
14257,12001,JFL01-0603,Hainan,China,18.738133,108.979017,259,23.446,1610.734432,humid-thermo ferrralitic
14258,12001,JFL01-8302,Hainan,China,18.729133,108.89375,867,19.798,2781.04278,Brick yellow soil
14259,12001,JFL01-8401,Hainan,China,18.739467,108.868617,863,19.822,2771.068428,Brick yellow soil
14260,12001,JFL01-8402,Hainan,China,18.730917,108.88855,881,19.714,2816.236591,Brick yellow soil
14261,12001,JFL01-0502_1,Hainan,China,18.73945,108.858733,882,19.708,2818.767411,Brick yellow soil
14262,12001,JFL01-0502_3,Hainan,China,18.73945,108.858733,882,19.708,2818.767411,Brick yellow soil
14263,12001,JFL01-0502_4,Hainan,China,18.73945,108.858733,882,19.708,2818.767411,Brick yellow soil
14264,12001,JFL01-0502_7,Hainan,China,18.73945,108.858733,882,19.708,2818.767411,Brick yellow soil
14265,12001,JFL01-0502_8,Hainan,China,18.73945,108.858733,882,19.708,2818.767411,Brick yellow soil
