site.id,study.id,site.sitename,site.state,site.country,lat_dec,long_dec,elevation,AMT,AMP,soil.classification
5107,11419,Shanxi 318,,China,38.97,112.13,2160,10,395,NA
5084,11419,Shanxi 295,,China,38.98,112.06,2950,10,395,NA
5112,11419,Shanxi 323,,China,38.98,112.15,2130,10,395,NA
4618,11419,Ningwu Shanxi ,,China,39,112.2,2300,NA,NA,NA
5113,11419,Shanxi 324,,China,39.02,112.15,2210,10,395,NA
5211,11419,Shanxi 422,,China,39.1,113.66,2300,NA,NA,NA
5201,11419,Shanxi 412,,China,39.12,113.5,2188,14,570,NA
5205,11419,Shanxi 416,,China,39.12,113.54,2480,NA,NA,NA
5209,11419,Shanxi 420,,China,39.12,113.59,2500,NA,NA,NA
5216,11419,Shanxi 427,,China,39.13,114.15,2581,NA,NA,NA
5212,11419,Shanxi 423,,China,39.18,113.71,2490,NA,NA,NA
4048,11419,Fanzhi Shanxi,,China,39.2,113.2,2210,NA,NA,NA
4105,11419,Hebei ,,China,39.2,115.2,120,11.6,641,NA
5173,11419,Shanxi 384,,China,39.3,112.95,2030,NA,NA,NA
4076,11419,Guancen mountain Shanxi,,China,39.5,112.2,2310,NA,NA,NA
4239,11419,Laiyuan Hebei ,,China,39.7,115.3,930,NA,NA,NA
5554,11419,Zhuanghe Liaoning ,,China,39.7,123.1,350,8.6,680,NA
5213,11419,Shanxi 424,,China,39.73,113.8,1982,NA,NA,NA
5214,11419,Shanxi 425,,China,39.9,113.83,2075,NA,NA,NA
5215,11419,Shanxi 426,,China,39.93,113.97,2010,NA,NA,NA
5279,11419,Tarim river Xinjiang ,,China,40.1,88.1,900,NA,NA,NA
4716,11419,Qinglong Hebei 1,,China,40.4,118.9,350,9.3,540,NA
5277,11419,Talimu river Xinjiang ,,China,40.4,80.6,900,7.6,247,NA
5470,11419,Yeerqiang river and hetian river Xinjiang ,,China,40.4,80.8,900,7.6,247,NA
4715,11419,Qinglong Hebei ,,China,40.5,118.7,1167,9.3,540,NA
8913,11419,Anshan Liaoning,,China,40.5,123.2,600,8.5,1000,NA
4235,11419,Kuancheng Hebei ,,China,40.6,118.4,1300,NA,NA,NA
5407,11419,Xinglong Hebei ,,China,40.6,117.4,1058,8,370,NA
4236,11419,Kuandian Liaoning ,,China,40.7,124.7,400,-4,500,NA
3967,11419,Chongli Hebei,,China,40.9,115.2,1600,NA,NA,NA
8947,11419,Chengde Hebei 2,,China,40.9,117.9,1203,9.3,539,NA
