"","measurement.id","plot.id","site.id","study.id","refor.type","prior","stand.age","variables.name","mean_ha","max_depth","bulk_density"
"75",836,1710,2302,1394,"SNR","H",20,"soil_perC",8.62,20,NA
"76",837,1711,2302,1394,"SNR","H",35,"soil_perC",6.9,20,NA
"77",863,1725,2077,1599,"C","C",0,"SOC",39.6,5,NA
"78",869,1726,3864,1599,"SNR","C",6,"SOC",48.4,5,NA
"79",875,1727,3865,1599,"SNR","C",16,"SOC",63.6,5,NA
"80",881,1728,3866,1599,"SNR","C",45,"SOC",62.1,5,NA
"81",887,1729,3867,1599,"SNR","C",100,"SOC",61.8,5,NA
"82",60,1734,2405,246,"SNR","SC",2,"soil_perC",12.1,5,NA
"83",61,1735,2405,246,"SNR","SC",2,"soil_perC",8.4,5,NA
"84",62,1736,2405,246,"SNR","SC",2,"soil_perC",10.5,5,NA
"85",64,1737,2405,246,"SNR","SC",3,"soil_perC",7,5,NA
"86",65,1738,2405,246,"SNR","SC",3,"soil_perC",11.7,5,NA
"87",66,1739,2405,246,"SNR","SC",3,"soil_perC",7.2,5,NA
"88",67,1740,2405,246,"SNR","SC",3,"soil_perC",10.5,5,NA
"89",71,1741,2405,246,"SNR","SC",6,"soil_perC",8.3,5,NA
"90",72,1742,2405,246,"SNR","SC",6,"soil_perC",9.4,5,NA
"91",77,1743,2405,246,"SNR","SC",15,"soil_perC",10.2,5,NA
"92",80,1744,2405,246,"SNR","SC",30,"soil_perC",5.6,5,NA
"93",83,1745,2405,246,"SNR","SC",55,"soil_perC",9.3,5,NA
"94",932,1748,385,1879,"SNR","C",11,"soil_perC",3.05,15,NA
"95",933,1749,385,1879,"SNR","C",21,"soil_perC",6.34,15,NA
"96",934,1750,385,1879,"SNR","C",51,"soil_perC",6.33,15,NA
"97",1044,1768,3541,2236,"SNR","PA",25,"soil_perC",11.35,5,1.1
"98",1053,1769,3732,2236,"SNR","PA",21,"soil_perC",13.21,5,1.06
"99",13082,1778,2161,2416,"SNR","C",39,"soil_perC",4.44,6,1.05
"100",1094,1779,3723,2542,"PA","PA",0,"soil_perC",17.63,5,0.7
"101",1101,1780,3723,2542,"SNR","PA",10,"soil_perC",21.24,5,0.5
"102",1108,1781,3723,2542,"SNR","PA",35,"soil_perC",16.58,5,0.5
"103",1213,1854,2241,2963,"H","H",0,"SOC",29,30,NA
"104",1215,1854,2241,2963,"SNR","H",10,"SOC",31.4,30,NA
"105",1216,1854,2241,2963,"SNR","H",15,"SOC",26.9,30,NA
"106",1214,1854,2241,2963,"SNR","H",5,"SOC",29.1,30,NA
"107",1217,1855,2242,2963,"H","H",0,"SOC",30,30,NA
"108",1219,1855,2242,2963,"SNR","H",10,"SOC",29.7,30,NA
"109",1220,1855,2242,2963,"SNR","H",15,"SOC",31.2,30,NA
"110",1218,1855,2242,2963,"SNR","H",5,"SOC",31.4,30,NA
"111",1221,1856,2243,2963,"H","H",0,"SOC",37.6,30,NA
"112",1223,1856,2243,2963,"SNR","H",10,"SOC",46.1,30,NA
"113",1224,1856,2243,2963,"SNR","H",15,"SOC",62.1,30,NA
"114",1222,1856,2243,2963,"SNR","H",5,"SOC",43.4,30,NA
"115",1264,1861,2273,3217,"SNR","C",4,"soil_perC",2.58,20,0.91
"116",1265,1862,2274,3217,"SNR","C",23,"soil_perC",3.26,20,0.88
"117",12830,1863,243,3452,"SNR","PA",5,"soil_perC",4,10,NA
"118",12831,1864,243,3452,"SNR","PA",12,"soil_perC",3.9,10,NA
"119",12832,1865,243,3452,"SNR","PA",30,"soil_perC",4,10,NA
"120",1360,1913,3767,3748,"SNR","SC",6,"soil_perC",1.72,20,1.1
"121",1361,1914,3767,3748,"SNR","SC",9,"soil_perC",1.57,20,1.3
"122",1425,1915,2229,3871,"SNR","",16,"SOC",66.1,10,NA
"123",1433,1917,3140,4045,"C","C",0,"soil_perC",1.697,10,1.43
"124",1436,1917,3140,4045,"SNR","C",15,"soil_perC",1.663,10,1.29
"125",1442,1918,3538,4149,"SNR","C/PA",27,"soil_perC",3.82,20,1.16
"126",1446,1919,3538,4149,"SNR","PA",2,"soil_perC",3.98,20,1.22
"127",1479,1929,3826,4322,"SNR","",25,"SOC",55.4,10,NA
"128",1506,1930,2090,4395,"SNR","F",2,"SOC",2.1,15,NA
"129",1508,1932,2092,4395,"SNR","F",6,"SOC",3.2,15,NA
"130",1510,1934,2094,4395,"SNR","F",7,"SOC",3,15,NA
"131",1512,1936,2096,4395,"SNR","F",11,"SOC",2,15,NA
"132",1514,1938,2098,4395,"SNR","F",23,"SOC",3,15,NA
"133",1516,1940,2100,4395,"SNR","F",30,"SOC",2.2,15,NA
"134",1520,1942,397,4404,"SC","SC",0,"soil_perC",5.1,40,NA
"135",1545,1943,2074,4457,"C","C",0,"soil_perC",1.49,15,1.21
"136",1546,1944,2074,4457,"SNR","C",8,"soil_perC",2.4,15,1.21
"137",1547,1945,2074,4457,"SNR","C",18,"soil_perC",3.44,15,1.17
"138",1574,1950,3575,4491,"SNR","H",9,"SOC",72.9,30,NA
"139",1575,1951,3575,4491,"SNR","H",12,"SOC",37.3,30,NA
"140",1576,1952,3575,4491,"SNR","H",14,"SOC",56.1,30,NA
"141",1577,1953,3575,4491,"SNR","H",21,"SOC",37.1,30,NA
"142",1578,1954,3575,4491,"SNR","H",26,"SOC",29.9,30,NA
"143",1579,1955,3575,4491,"SNR","H",31,"SOC",37.5,30,NA
"144",1706,1964,2271,4757,"SNR","C",30,"soil_perC",6.34,6,0.7
"145",1714,1965,2271,4757,"C","C",0,"soil_perC",2.32,10,1.03
"146",1721,1966,2271,4757,"SNR","C",15,"soil_perC",2.64,4,0.92
"147",1727,1967,2271,4757,"SNR","PA",12,"soil_perC",46.45,16,0.55
"148",1735,1968,2271,4757,"PA","PA",0,"soil_perC",18.28,4,0.58
"149",1747,1970,2271,4757,"C","C",0,"soil_perC",24.6,10,0.65
"150",1751,1971,2271,4757,"SNR","C",20,"soil_perC",27.58,6,0.65
"151",1755,1972,2271,4757,"SNR","C",20,"soil_perC",35.83,11,0.58
"152",1760,1973,2271,4757,"SNR","H",23,"soil_perC",21.55,6,0.58
"153",1764,1974,2271,4757,"C","C",0,"soil_perC",27.93,6,0.77
"154",1771,1975,2271,4757,"SNR","C",12,"soil_perC",23.7,7.5,0.73
"155",1785,1977,3572,4772,"SNR","SC",15,"SOC",40.19,10,NA
"156",1789,1978,3572,4772,"C","C",0,"SOC",28,10,NA
"157",1825,1983,2319,4923,"PA","PA",0,"SOC",115.7,30,NA
"158",1824,1983,2319,4923,"SNR","PA",23,"SOC",103.6,30,NA
"159",1827,1984,2320,4923,"PA","PA",0,"SOC",99.4,30,NA
"160",1826,1984,2320,4923,"SNR","PA",28,"SOC",67.5,30,NA
"161",1829,1985,2320,4923,"C","C",0,"SOC",31.1,30,NA
"162",1828,1985,2320,4923,"SNR","C",15,"SOC",47.6,30,NA
"163",1831,1986,2320,4923,"C","C",0,"SOC",53.3,30,NA
"164",1830,1986,2320,4923,"SNR","C",25,"SOC",89,30,NA
"165",1833,1987,2320,4923,"C","C",0,"SOC",98.3,30,NA
"166",1832,1987,2320,4923,"SNR","C",11,"SOC",102,30,NA
"167",1835,1988,2320,4923,"C","C",0,"SOC",76.6,30,NA
"168",1834,1988,2320,4923,"SNR","C",30,"SOC",92.7,30,NA
"169",1837,1989,2320,4923,"C","C",0,"SOC",57.7,30,NA
"170",1836,1989,2320,4923,"SNR","C",15,"SOC",74.7,30,NA
"171",1839,1999,2320,4923,"C","C",0,"SOC",41.1,30,NA
"172",1838,1999,2320,4923,"SNR","C",15,"SOC",29.5,30,NA
"173",1850,2000,3508,5152,"SNR","PA/H",5,"SOC",131.3,10,NA
"174",1854,2001,3508,5152,"SNR","PA/H",3,"SOC",92.7,10,NA
"175",1899,2029,2164,5278,"PA","PA",0,"SOC",46.96,10,NA
"176",1900,2030,2164,5278,"SNR","PA",7,"SOC",47.84,10,NA
"177",1901,2031,2164,5278,"SNR","PA",13,"SOC",49.8,10,NA
"178",1909,2032,2254,5317,"SNR","C/PA",8,"soil_perC",15.08,10,1.05
"179",1915,2033,2255,5317,"SNR","C/PA",19,"soil_perC",17.11,10,1.08
"180",1922,2034,2256,5317,"C","C",0,"soil_perC",14.74,10,1.15
"181",1865,2035,2154,5252,"H","H",0,"soil_perC",21.14,20,0.5
"182",1866,2036,2154,5252,"SNR","H",4,"SOC",198,20,NA
"183",1867,2037,2154,5252,"SNR","H",5,"SOC",181,20,NA
"184",1868,2038,2154,5252,"SNR","H",10,"SOC",173,20,NA
"185",1869,2039,2154,5252,"SNR","H",17,"SOC",152,20,NA
"186",2019,2073,2230,5747,"SNR","C",22,"SOC",158.3,10,NA
"187",2020,2074,2230,5747,"PA","C",0,"SOC",136.3,20,NA
"188",2091,2079,3681,5997,"C","C",0,"soil_perC",1.74,20,1.25
"189",2092,2080,3876,5997,"C","C",0,"soil_perC",2.29,20,1.19
"190",2093,2081,3500,5997,"C","C",0,"soil_perC",1.41,20,1.22
"191",2094,2082,3785,5997,"SNR","C",1,"soil_perC",1.18,20,0.94
"192",2095,2083,3516,5997,"SNR","C",5,"soil_perC",2.57,20,1.09
"193",2096,2084,3814,5997,"SNR","C",4,"soil_perC",1.06,20,1.21
"194",2097,2085,3799,5997,"SNR","C",5,"soil_perC",1.25,20,1.42
"195",2098,2086,3633,5997,"SNR","C",6,"soil_perC",3.16,20,1.04
"196",2099,2087,3745,5997,"SNR","C",7,"soil_perC",1.59,20,1.18
"197",2100,2088,3600,5997,"SNR","C",7,"soil_perC",0.78,20,0.99
"198",2101,2089,3577,5997,"SNR","C",12,"soil_perC",1.67,20,1.1
"199",2102,2090,3791,5997,"SNR","C",15,"soil_perC",3.16,20,1.03
"200",2103,2091,3616,5997,"SNR","C",20,"soil_perC",3.34,20,0.97
"201",2120,2092,13972,6214,"SNR","C",9,"soil_perC",3.08,40,1.5
"202",2128,2093,293,6412,"SNR","SC",3,"SOC",219.5,100,NA
"203",2129,2094,294,6412,"SNR","SC",3,"SOC",233.3,100,NA
"204",2130,2095,295,6412,"SNR","SC",3,"SOC",286,100,NA
"205",2131,2096,293,6412,"SNR","SC",9,"SOC",189.7,100,NA
"206",2132,2097,294,6412,"SNR","SC",9,"SOC",207.2,100,NA
"207",2133,2098,295,6412,"SNR","SC",9,"SOC",236.6,100,NA
"208",2134,2099,293,6412,"SNR","SC",19,"SOC",190.6,100,NA
"209",2135,2100,294,6412,"SNR","SC",19,"SOC",248.7,100,NA
"210",2136,2101,295,6412,"SNR","SC",19,"SOC",228.4,100,NA
"211",2224,2170,2083,6521,"SNR","H",15,"soil_perC",2.8,20,1.3
"212",2225,2171,2083,6521,"SNR","H/D",25,"soil_perC",3.4,20,1.3
"213",2229,2172,41,6559,"PA","PA",0,"SOC",106.7,10,NA
"214",2230,2173,41,6559,"SNR","PA",10,"SOC",146.8,10,NA
"215",2231,2174,41,6559,"SNR","PA",20,"SOC",134.9,10,NA
"216",2232,2175,41,6559,"SNR","PA",30,"SOC",99.9,10,NA
"217",12766,2196,2073,6588,"SNR","F",4,"SOC",65.8,10,NA
"218",12767,2196,2073,6588,"SNR","F",5,"SOC",66.7,10,NA
"219",12768,2196,2073,6588,"SNR","F",6,"SOC",69.6,10,NA
"220",2302,2197,2046,6701,"SNR","F",3,"SOC",39.79,9.77,NA
"221",2303,2198,2046,6701,"SNR","F",4,"SOC",42.4,9.63,NA
"222",2304,2199,2046,6701,"SNR","F",9,"SOC",43.04,10.2,NA
"223",2289,2200,399,6803,"SNR","H",3,"SOC",85,10,NA
"224",2290,2201,3877,6803,"SNR","H/D",10,"SOC",72.4,10,NA
"225",2291,2202,3878,6803,"SNR","H/D",26,"SOC",93.6,10,NA
"226",2385,2220,3570,7212,"H","H",0,"soil_perC",1.07,20,1.36
"227",2386,2220,3570,7212,"SNR","H",14,"SOC",84.2,20,NA
"228",2394,2221,414,7216,"SNR","PA",3,"SOC",73.4,10,NA
"229",2397,2222,415,7216,"SNR","PA",3,"SOC",70.1,10,NA
"230",2400,2223,416,7216,"SNR","PA",7,"SOC",89.5,10,NA
"231",2403,2228,417,7216,"SNR","PA",8,"SOC",56.8,10,NA
"232",2415,2229,412,7216,"SNR","PA",11,"SOC",69.7,10,NA
"233",2418,2230,419,7216,"SNR","PA",15,"SOC",70.5,10,NA
"234",2421,2231,420,7216,"SNR","PA",17,"SOC",82.2,10,NA
