study.id,citations.author,citations.year,Code2,Count,citations.journal,citations.title
4869,Cuesta,2012,yes,1,ACTA OECOLOGICA-INTERNATIONAL JOURNAL OF ECOLOGY 38:58-65  ,Soil chemical properties in abandoned Mediterranean cropland after succession and oak reforestation
4923,Alberti,2011,yes,1,REGIONAL ENVIRONMENTAL CHANGE 11:917-924,Impact of woody encroachment on soil organic carbon and nitrogen in abandoned agricultural lands along a rainfall gradient in Italy
5152,Zhang,2011,yes,1,FOREST ECOLOGY AND MANAGEMENT 262:361-369,"Links between plant diversity, carbon stocks and environmental factors along a successional gradient in a subalpine coniferous forest in Southwest China"
5252,Pang,2011,yes,1,SOIL USE AND MANAGEMENT 27:213-220,The effects of clear-felling subalpine coniferous forests on soil physical and chemical properties in the eastern Tibetan Plateau
5278,Neumann-Cosel,2011,yes,1,FOREST ECOLOGY AND MANAGEMENT 261:1625-1633,Soil carbon dynamics under young tropical secondary forests on former pastures-A case study from Panama
5317,Kalinina,2011,yes,1,GEODERMA 162:196-206  ,"Self-restoration of post-agrogenic chernozems of Russia: Soil development, carbon stocks, and dynamics of carbon pools"
5599,Mekuria,2011,yes,1,SOIL SCIENCE SOCIETY OFAMERICAJOURNAL75:246-256,"Restoration of Ecosystem Carbon Stocks Following Exclosure Establishment in Communal Grazing Lands in Tigray, Ethiopia"
5747,Li,2010,yes,1,PLANT AND SOIL 335:245-253,Effect of conversion of sugarcane plantation to forest and pasture on soil carbon in Hawaii
5962,Luan,2010,yes,1,GEODERMA 156:228-236  ,"Assessments of the impacts of Chinese fir plantation and natural regenerated forest on soil organic matter quality at Longmen mountain, Sichuan, China"
5997,Zhang,2010,yes,1,FOREST ECOLOGY AND MANAGEMENT 259:2036-2047,"Vegetation community and soil characteristics of abandoned agricultural land and pine plantation in the Qinling Mountains, China"
6214,Huang,2010,yes,1,JOURNAL OF ENVIRONMENTAL SCIENCES 22:1765-1773,Response of runoff and soil loss to reforestation and rainfall type in red soil region of southern China
6412,Eaton,2009,yes,1,FOREST ECOLOGY AND MANAGEMENT 258:949-958,Loss of carbon sequestration potential after several decades of shifting cultivation in the Southern Yucatan
6416,Mitchell,2009,yes,1,BIOGEOCHEMISTRY 95:215-229  ,N-2 fixing alder (Alnus viridis spp. fruticosa) effects on soil properties across a secondary successional chronosequence in interior Alaska
6450,Kalinina,2009,yes,1,GEODERMA 152:35-42  ,"Self-restoration of post-agrogenic sandy soils in the southern Taiga of Russia: Soil development, nutrient status, and carbon dynamics"
