"","IPCC","country","checked","measurement.id","plot.id","site.id","study.id","citations.title","sites.sitename","refor.type","Species","prior","prior.duration","stand.age","date","n","sub_n","plot.size","area..plot.number.x.plot.size.","variables.name","mean_ha","covar_1","coV1_value","covar_2","coV2_value","covar_3","coV3_value","density","sand.silt.clay","pH","allometry","measurements.notes","X"
"6055",0,"China","SCC",6001,6786,8914,11419,"Productivity as related to diversity and age in planted versus natural forests","Arshaan Inner Mongolia","SNR","Larix gmelinii (Rupr.) Kuzen.",NA,NA,23,NA,15,NA,0.01,"","belowground_biomass",8.28,NA,NA,NA,NA,NA,NA,1136,NA,NA,"site-specific-harvest","",NA
"6056",0,"China","SCC",6002,6787,8914,11419,"Productivity as related to diversity and age in planted versus natural forests","Arshaan Inner Mongolia","SNR","Larix gmelinii (Rupr.) Kuzen.",NA,NA,31,NA,15,NA,0.01,"","aboveground_biomass + understory_biomass",29.21,"min_dbh",2,NA,NA,NA,NA,867,NA,NA,"site-specific-harvest","",NA
"6057",0,"China","SCC",6003,6787,8914,11419,"Productivity as related to diversity and age in planted versus natural forests","Arshaan Inner Mongolia","SNR","Larix gmelinii (Rupr.) Kuzen.",NA,NA,31,NA,15,NA,0.01,"","belowground_biomass",13.59,NA,NA,NA,NA,NA,NA,867,NA,NA,"site-specific-harvest","",NA
"6058",0,"China","SCC",6004,6788,8914,11419,"Productivity as related to diversity and age in planted versus natural forests","Arshaan Inner Mongolia","SNR","Larix gmelinii (Rupr.) Kuzen.",NA,NA,57,NA,15,NA,0.01,"","aboveground_biomass + understory_biomass",30.58,"min_dbh",2,NA,NA,NA,NA,1845,NA,NA,"site-specific-harvest","",NA
"6059",0,"China","SCC",6005,6788,8914,11419,"Productivity as related to diversity and age in planted versus natural forests","Arshaan Inner Mongolia","SNR","Larix gmelinii (Rupr.) Kuzen.",NA,NA,57,NA,15,NA,0.01,"","belowground_biomass",15.93,NA,NA,NA,NA,NA,NA,1845,NA,NA,"site-specific-harvest","",NA
"6060",0,"China","SCC",6006,6789,8914,11419,"Productivity as related to diversity and age in planted versus natural forests","Arshaan Inner Mongolia","SNR","Larix gmelinii (Rupr.) Kuzen.",NA,NA,17,NA,15,NA,0.01,"","aboveground_biomass + understory_biomass",34.63,"min_dbh",2,NA,NA,NA,NA,1650,NA,NA,"site-specific-harvest","",NA
"6061",0,"China","SCC",6007,6789,8914,11419,"Productivity as related to diversity and age in planted versus natural forests","Arshaan Inner Mongolia","SNR","Larix gmelinii (Rupr.) Kuzen.",NA,NA,17,NA,15,NA,0.01,"","belowground_biomass",17.38,NA,NA,NA,NA,NA,NA,1650,NA,NA,"site-specific-harvest","",NA
"6062",0,"China","SCC",6008,6790,8914,11419,"Productivity as related to diversity and age in planted versus natural forests","Arshaan Inner Mongolia","SNR","Larix gmelinii (Rupr.) Kuzen.",NA,NA,80,NA,15,NA,0.01,"","aboveground_biomass + understory_biomass",42.6,"min_dbh",2,NA,NA,NA,NA,390,NA,NA,"site-specific-harvest","",NA
"6063",0,"China","SCC",6009,6790,8914,11419,"Productivity as related to diversity and age in planted versus natural forests","Arshaan Inner Mongolia","SNR","Larix gmelinii (Rupr.) Kuzen.",NA,NA,80,NA,15,NA,0.01,"","belowground_biomass",16.34,NA,NA,NA,NA,NA,NA,390,NA,NA,"site-specific-harvest","",NA
"6064",0,"China","SCC",6010,6791,8914,11419,"Productivity as related to diversity and age in planted versus natural forests","Arshaan Inner Mongolia","SNR","Larix gmelinii (Rupr.) Kuzen.",NA,NA,42,NA,15,NA,0.01,"","aboveground_biomass + understory_biomass",74.96,"min_dbh",2,NA,NA,NA,NA,493,NA,NA,"site-specific-harvest","",NA
"6065",0,"China","SCC",6011,6791,8914,11419,"Productivity as related to diversity and age in planted versus natural forests","Arshaan Inner Mongolia","SNR","Larix gmelinii (Rupr.) Kuzen.",NA,NA,42,NA,15,NA,0.01,"","belowground_biomass",27.22,NA,NA,NA,NA,NA,NA,493,NA,NA,"site-specific-harvest","",NA
"6066",0,"China","SCC",6012,6792,8914,11419,"Productivity as related to diversity and age in planted versus natural forests","Arshaan Inner Mongolia","SNR","Larix gmelinii (Rupr.) Kuzen.",NA,NA,26,NA,15,NA,0.01,"","aboveground_biomass + understory_biomass",90.27,"min_dbh",2,NA,NA,NA,NA,1692,NA,NA,"site-specific-harvest","",NA
"6067",0,"China","SCC",6013,6792,8914,11419,"Productivity as related to diversity and age in planted versus natural forests","Arshaan Inner Mongolia","SNR","Larix gmelinii (Rupr.) Kuzen.",NA,NA,26,NA,15,NA,0.01,"","belowground_biomass",38.98,NA,NA,NA,NA,NA,NA,1692,NA,NA,"site-specific-harvest","",NA
"6068",0,"China","SCC",6014,4648,8915,11419,"Productivity as related to diversity and age in planted versus natural forests","Baise Guangxi 1","SNR","Quercus sp.",NA,NA,25,NA,15,NA,0.01,"","aboveground_biomass + understory_biomass",65.62,"min_dbh",2,NA,NA,NA,NA,431,NA,NA,"site-specific-harvest","",NA
"6069",0,"China","SCC",6015,4648,8915,11419,"Productivity as related to diversity and age in planted versus natural forests","Baise Guangxi 1","SNR","Quercus sp.",NA,NA,25,NA,15,NA,0.01,"","belowground_biomass",14.66,NA,NA,NA,NA,NA,NA,431,NA,NA,"site-specific-harvest","",NA
"6070",0,"China","SCC",6016,4649,8916,11419,"Productivity as related to diversity and age in planted versus natural forests","Baise Guangxi 2","SNR","Miscellaneous wood",NA,NA,37,NA,15,NA,0.01,"","aboveground_biomass + understory_biomass",62.37,"min_dbh",2,NA,NA,NA,NA,152,NA,NA,"site-specific-harvest","",NA
"6071",0,"China","SCC",6017,4649,8916,11419,"Productivity as related to diversity and age in planted versus natural forests","Baise Guangxi 2","SNR","Miscellaneous wood",NA,NA,37,NA,15,NA,0.01,"","belowground_biomass",19.35,NA,NA,NA,NA,NA,NA,152,NA,NA,"site-specific-harvest","",NA
"6072",0,"China","SCC",6018,4665,8917,11419,"Productivity as related to diversity and age in planted versus natural forests","Baise Guangxi 3","SNR","Miscellaneous wood",NA,NA,43,NA,15,NA,0.01,"","aboveground_biomass + understory_biomass",122.01,"min_dbh",2,NA,NA,NA,NA,336,NA,NA,"site-specific-harvest","",NA
"6073",0,"China","SCC",6019,4665,8917,11419,"Productivity as related to diversity and age in planted versus natural forests","Baise Guangxi 3","SNR","Miscellaneous wood",NA,NA,43,NA,15,NA,0.01,"","belowground_biomass",35.88,NA,NA,NA,NA,NA,NA,336,NA,NA,"site-specific-harvest","",NA
"6074",0,"China","SCC",6020,4680,8918,11419,"Productivity as related to diversity and age in planted versus natural forests","Baise Guangxi 4","SNR","Miscellaneous wood",NA,NA,42,NA,15,NA,0.01,"","aboveground_biomass + understory_biomass",71.86,"min_dbh",2,NA,NA,NA,NA,126,NA,NA,"site-specific-harvest","",NA
"6075",0,"China","SCC",6021,4680,8918,11419,"Productivity as related to diversity and age in planted versus natural forests","Baise Guangxi 4","SNR","Miscellaneous wood",NA,NA,42,NA,15,NA,0.01,"","belowground_biomass",26.71,NA,NA,NA,NA,NA,NA,126,NA,NA,"site-specific-harvest","",NA
"6076",0,"China","SCC",6022,4540,8919,11419,"Productivity as related to diversity and age in planted versus natural forests","Baishui river Gansu","SNR","Fargesia denudata Yi",NA,NA,6,NA,15,NA,0.01,"","aboveground_biomass + understory_biomass",7.473,"min_dbh",2,NA,NA,NA,NA,0,NA,NA,"site-specific-harvest","",NA
"6077",0,"China","SCC",6023,4540,8919,11419,"Productivity as related to diversity and age in planted versus natural forests","Baishui river Gansu","SNR","Fargesia denudata Yi",NA,NA,6,NA,15,NA,0.01,"","belowground_biomass",3.153,NA,NA,NA,NA,NA,NA,0,NA,NA,"site-specific-harvest","",NA
"6078",0,"China","SCC",6024,4541,8919,11419,"Productivity as related to diversity and age in planted versus natural forests","Baishui river Gansu","SNR","Fargesia scabrida Yi",NA,NA,5,NA,15,NA,0.01,"","aboveground_biomass + understory_biomass",11.483,"min_dbh",2,NA,NA,NA,NA,0,NA,NA,"site-specific-harvest","",NA
