measurement.id,plot.id,site.id,study.id,refor.type,prior,stand.age,n,sub_n,plot.size,variables.name,mean_ha,covar_1,coV1_value,covar_2,coV2_value,covar_3,coV3_value,ref
30,1532,2150,222,C,C,0,5,4,0.04,SOC,24.33,max_depth,10,min_depth,0,,,no_comp
59,1533,2405,246,SNR,SC,2,1,20,0.04,soil_perC,3.5,max_depth,5,min_depth,0,,,site_ref
87,1533,2405,246,SNR,SC,2,1,20,0.04,soil_perC,2.6,max_depth,15,min_depth,5,,,site_ref
63,1534,2405,246,SNR,SC,3,1,20,0.04,soil_perC,3.5,max_depth,5,min_depth,0,,,site_ref
91,1534,2405,246,SNR,SC,3,1,20,0.04,soil_perC,2.1,max_depth,15,min_depth,5,,,site_ref
68,1535,2405,246,SNR,SC,4,1,20,0.04,soil_perC,5.8,max_depth,5,min_depth,0,,,site_ref
96,1535,2405,246,SNR,SC,4,1,20,0.04,soil_perC,3.4,max_depth,15,min_depth,5,,,site_ref
69,1536,2405,246,SNR,SC,5,1,20,0.04,soil_perC,7.5,max_depth,5,min_depth,0,,,site_ref
97,1536,2405,246,SNR,SC,5,1,20,0.04,soil_perC,3.5,max_depth,15,min_depth,5,,,site_ref
70,1537,2405,246,SNR,SC,6,1,20,0.04,soil_perC,7.9,max_depth,5,min_depth,0,,,site_ref
98,1537,2405,246,SNR,SC,6,1,20,0.04,soil_perC,5.5,max_depth,15,min_depth,5,,,site_ref
73,1538,2405,246,SNR,SC,9,1,20,0.04,soil_perC,4.8,max_depth,5,min_depth,0,,,site_ref
101,1538,2405,246,SNR,SC,9,1,20,0.04,soil_perC,2.9,max_depth,15,min_depth,5,,,site_ref
74,1539,2405,246,SNR,SC,10,1,20,0.04,soil_perC,4.7,max_depth,5,min_depth,0,,,site_ref
102,1539,2405,246,SNR,SC,10,1,20,0.04,soil_perC,3,max_depth,15,min_depth,5,,,site_ref
75,1540,2405,246,SNR,SC,12,1,20,0.04,soil_perC,5.7,max_depth,5,min_depth,0,,,site_ref
103,1540,2405,246,SNR,SC,12,1,20,0.04,soil_perC,3.2,max_depth,15,min_depth,5,,,site_ref
76,1541,2405,246,SNR,SC,15,1,20,0.04,soil_perC,10.9,max_depth,5,min_depth,0,,,site_ref
104,1541,2405,246,SNR,SC,15,1,20,0.04,soil_perC,4.2,max_depth,15,min_depth,5,,,site_ref
78,1542,2405,246,SNR,SC,20,1,20,0.04,soil_perC,5.1,max_depth,5,min_depth,0,,,site_ref
106,1542,2405,246,SNR,SC,20,1,20,0.04,soil_perC,2.7,max_depth,15,min_depth,5,,,site_ref
79,1543,2405,246,SNR,SC,30,1,20,0.04,soil_perC,6.7,max_depth,5,min_depth,0,,,site_ref
107,1543,2405,246,SNR,SC,30,1,20,0.04,soil_perC,4,max_depth,15,min_depth,5,,,site_ref
81,1544,2405,246,SNR,SC,33,1,20,0.04,soil_perC,5.1,max_depth,5,min_depth,0,,,site_ref
109,1544,2405,246,SNR,SC,33,1,20,0.04,soil_perC,3.3,max_depth,15,min_depth,5,,,site_ref
82,1545,2405,246,SNR,SC,55,1,20,0.04,soil_perC,5.2,max_depth,5,min_depth,0,,,site_ref
110,1545,2405,246,SNR,SC,55,1,20,0.04,soil_perC,7.9,max_depth,15,min_depth,5,,,site_ref
86,1547,2405,246,C,SC,0,1,20,0.04,soil_perC,15.4,max_depth,5,min_depth,0,,,site_ref
114,1547,2405,246,C,SC,0,1,20,0.04,soil_perC,6.8,max_depth,15,min_depth,5,,,site_ref
116,1560,2082,390,C,C,0,1,10,0.04,SOC,33.9,max_depth,15,min_depth,0,,,site_ref
117,1561,2082,390,C,C,0,1,10,0.04,SOC,35.7,max_depth,15,min_depth,0,,,site_ref
115,1562,2082,390,C,C,0,1,10,0.04,SOC,56.7,max_depth,15,min_depth,0,,,site_ref
176,1578,2153,557,PA,PA,0,1,11,0.05,SOC,51.4,max_depth,30,min_depth,0,,,site_ref
184,1579,2153,557,SNR,PA,13,1,11,0.05,SOC,62.4,max_depth,30,min_depth,0,,,site_ref
187,1580,2153,557,SNR,PA,20,1,11,0.05,SOC,51,max_depth,30,min_depth,0,,,site_ref
190,1581,2153,557,SNR,PA,26,1,11,0.05,SOC,33.8,max_depth,30,min_depth,0,,,site_ref
191,1582,2153,557,SNR,PA,30,1,11,0.05,SOC,56.2,max_depth,30,min_depth,0,,,site_ref
193,1583,2153,557,SNR,PA,34,1,11,0.05,SOC,35.2,max_depth,30,min_depth,0,,,site_ref
199,1584,2153,557,SNR,PA,42,1,11,0.05,SOC,56.1,max_depth,30,min_depth,0,,,site_ref
200,1585,2153,557,SNR,PA,47,1,11,0.05,SOC,54.2,max_depth,30,min_depth,0,,,site_ref
178,1587,2153,557,PA,PA,0,1,11,0.05,SOC,69.6,max_depth,30,min_depth,0,,,site_ref
182,1588,2153,557,SNR,PA,9,1,11,0.05,SOC,61,max_depth,30,min_depth,0,,,site_ref
183,1589,2153,557,SNR,PA,12,1,11,0.05,SOC,80,max_depth,30,min_depth,0,,,site_ref
188,1590,2153,557,SNR,PA,20,1,11,0.05,SOC,96.2,max_depth,30,min_depth,0,,,site_ref
189,1591,2153,557,SNR,PA,23,1,11,0.05,SOC,84.7,max_depth,30,min_depth,0,,,site_ref
192,1592,2153,557,SNR,PA,32,1,11,0.05,SOC,77.6,max_depth,30,min_depth,0,,,site_ref
198,1593,2153,557,SNR,PA,40,1,11,0.05,SOC,90.6,max_depth,30,min_depth,0,,,site_ref
204,1594,2153,557,SNR,PA,68,1,11,0.05,SOC,70,max_depth,30,min_depth,0,,,site_ref
257,1612,2079,851,SNR,C,10,5,5,0.0004,SOC,24,max_depth,20,min_depth,0,,,study_chrono
258,1612,2079,851,SNR,C,10,5,5,0.0004,SOC,14,max_depth,40,min_depth,20,,,study_chrono
259,1612,2079,851,SNR,C,10,5,5,0.0004,SOC,12,max_depth,60,min_depth,40,,,study_chrono
260,1612,2079,851,SNR,C,10,5,5,0.0004,SOC,11,max_depth,80,min_depth,60,,,study_chrono
261,1612,2079,851,SNR,C,10,5,5,0.0004,SOC,10,max_depth,100,min_depth,80,,,study_chrono
262,1612,2079,851,SNR,C,10,5,5,0.0004,SOC,7,max_depth,120,min_depth,100,,,study_chrono
263,1612,2079,851,SNR,C,10,5,5,0.0004,SOC,4,max_depth,140,min_depth,120,,,study_chrono
