checked,study.id,IPCC ,Soil,citations.author,citations.year,Code2,Count,citations.journal,citations.title,Entered,citations.notes,data remaining,ForCdb,Poorter,Bonner
SL,2244,0,0,Bertolin,2015,yes,1,FIRE ECOLOGY 11:32-54 ,"FIRE EMISSIONS AND CARBON UPTAKE IN SEVERELY BURNED LENGA BEECH (NOTHOFAGUS PUMILIO) FORESTS OF PATAGONIA, ARGENTINA",3/28/2018,,secondary forest aged 37,,,
SL,2255,0,0,Hytonen,2015,yes,1,SILVA FENNICA 49:1-16,Biomass production of coppiced grey alder and the effect of fertilization,3/28/2018,data shown as mean across fertilizer treatments,,,,
SCC,2287,2,0,Atkinson,2015,yes,1,FOREST ECOLOGY AND MANAGEMENT 335:270-280,"Land use legacy effects on structure and composition of subtropical dry forests in St. Croix, US Virgin Islands",3/29/2018,,,,,
SCC,2298,2,0,Mora,2014,yes,1,BIOTROPICA 47:38-48  ,Testing Chronosequences through Dynamic Approaches: Time and Site Effects on Tropical Dry Forest Succession,8/2/2017,"Used data from Poorter 2016, Rozendaal 2017, Good one to cite for comparing chrono & repeat; assuming that Poorter extracted only data >5 cm dbh and for year 2004 (not 2007, 2010)",,,1,
SCC,2382,2,1,Jacobi,2014,yes,1,AGROFORESTRY SYSTEMS 88:1117-1132 ,"Carbon stocks, tree diversity, and the role of organic certification in different cocoa production systems in Alto Beni, Bolivia",3/29/2018,,"TMC, MS",,,
SCC,2416,0,1,Novak,2014,yes,1,CATENA 123:88-98  ,"Soil and vegetation transformation in abandoned vineyards of the Tokaj Nagy-Hill, Hungary",3/29/2018,soil only  SNR,,,,
SCC,2542,0,1,Guidi,2014,yes,1,FOREST ECOLOGY AND MANAGEMENT 328:103-116,Changes in soil organic carbon and nitrogen following forest expansion on grassland in the Southern Alps,3/29/2018,,,,,
SCC,2735,0,1,Viana,2014,yes,1,SOIL & TILLAGE RESEARCH 140:1-7,Soil quality indicators for different restoration stages on Amazon rainforest,3/29/2018,,ANR,,,
SCC,2771,2,0,Becknell,2014,yes,1,CANADIAN JOURNAL OF FOREST RESEARCH 44:604-613,Stand age and soils as drivers of plant functional traits and aboveground biomass in secondary tropical dry forest,9/21/2017,,,1,,
SCC,2850,2,0,Costa,2014,yes,1,PLANT AND SOIL 378:113-123,Root and shoot biomasses in the tropical dry forest of semi-arid Northeast Brazil,3/29/2018,,,,,
