"FROM","site.ID","sites.sitename","network","alt.names","super.site","city","state","country","lat","lon","masl","geography.notes","mat","min.temp","max.temp","map","climate.notes","soil.texture","sand","silt","clay","soil.classification","soil.notes","hydrology.notes","site.notes","geographic.area","biogeog","Koeppen","FAO.ecozone","site.ID.v1","measurement.refs","site.ref","ref.notes","lacks.info.from.ori.pub","loaded.from","loaded.by","potential_duplicate_group","potential_duplicate_group_parsed","confirmed.unique","potential.duplicates.manual","duplicate.notes","NEW_RECORD","OLD_RECORD"
"GROA",2465,"Nicolas Bravo",NA,NA,NA,"NAC","Quintana Roo","Mexico",18.45,-88.933333,"120",NA,"25","NAC","NAC","1114",NA,"35.35.30","NaN","NaN","NaN","NAC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GROA site.ID = 294",0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",NA,NA,NA,NA,NA,FALSE,TRUE
"ForC",1333,"Nizanda",NA,NA,"","NAC","Oaxaca","Mexico",16.664,-95.497,"NAC",NA,"NAC","NAC","NAC","893",NA,"NAC","NAC","NAC","NAC","NAC",NA,"NAC",NA,"563","Neotropics","Aw","Tropical dry forest",1364,"Poorter_2015_decs",NA,NA,NA,NA,NA,0,"0",NA,NA,"",FALSE,FALSE
"GROA",2367,"Nizanda",NA,NA,NA,"NAC","Oaxaca","Mexico",16.658333,-95.111111,"250",NA,"26","NAC","NAC","900",NA,"","NaN","NaN","NaN","Lithosols",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GROA site.ID = 40",0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",NA,NA,NA,NA,NA,FALSE,TRUE
"ForC",1337,"Northeast India fallow field chronosequence",NA,NA,"","Burnihat","Meghalaya","India",26,91.083333,"100",NA,"25.3","12","32","2200",NA,"clay","NAC","NAC","NAC","Oxisol","Red loamy laterite (oxisol) derived from metamorphic rocks. pH of 7.",NA,NA,"567","IndoMalay","Cwa","Tropical moist forest",NA,"Toky_1983_ssfs",NA,NA,NA,"Anderson_2006_toba",NA,0,"0",NA,NA,"",FALSE,FALSE
"GROA",2527,"Northeast India fallow field chronosequence",NA,NA,NA,"NAC","Meghalaya","India",26,91.083333,"100",NA,"NAC","NAC","NAC","2200",NA,"loam","NaN","NaN","NaN","oxisols",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GROA site.ID = 3716",0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",NA,NA,NA,NA,NA,FALSE,TRUE
"ForC",4323,"NSA (Thompson)",NA,NA,NA,"NAC","Manitoba","Canada",55.883333,-98.333333,"NAC",NA,"-3.9","NAC","NAC","542",NA,"NAC","NAC","NAC","NAC","NAC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GROA site.ID = 5572",0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",NA,NA,NA,NA,NA,TRUE,FALSE
"GROA",4328,"NSA (Thompson)",NA,NA,NA,"NAC","Manitoba","Canada",55.883333,-98.333333,"NAC",NA,"-3.9","NAC","NAC","536",NA,"NAC","NAC","NAC","NAC","Dystrocrept",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GROA site.ID = 5572",0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",NA,NA,NA,NA,NA,FALSE,TRUE
"ForC",1400,"Oregon Cascades 2 (cool temperate montane)",NA,NA,"","NAC","Oregon","United States of America",44,-122.5,"NAC",NA,"8.5","NAC","NAC","2300",NA,"NAC","NAC","NAC","NAC","NAC",NA,NA,NA,"594","Nearctic","Csb","Temperate mountain system",NA,"Means_1992_banc",NA,"Keith_2009_rofb; Liu_2014_htpa",NA,"Keith_2009_rofb; Liu_2014_htpa","Maria",0,"0",NA,NA,"potential duplicate: Oregon Cascades 1 & 2",FALSE,FALSE
"GROA",2623,"Oregon Cascades 2 (cool temperate montane)",NA,NA,NA,"NAC","Oregon","United States",44,-122.5,"1140",NA,"5.4","NAC","NAC","2730",NA,"clay loam","NaN","NaN","NaN","Spodosol",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GROA site.ID = 2393",0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",NA,NA,NA,NA,NA,FALSE,TRUE
"ForC",1420,"Palma Real",NA,NA,"","NAC","Puntarenas","Costa Rica",8.3961,-83.3374,"10",NA,"27.4","NAC","NAC","4200",NA,"NAC","NAC","NAC","NAC","Inceptisol",NA,"NAC",NA,"116","Neotropics","Af","Tropical rainforest",1303,"Cifuentes-Jara_2008_abae",NA,NA,NA,"Bonner_2013_amgc",NA,0,"0",NA,NA,"",FALSE,FALSE
"GROA",2531,"Palma Real",NA,NA,NA,"NAC","Puntarenas","Costa Rica",8.3961,-83.3374,"10",NA,"27.4","NAC","NAC","4200",NA,"","NaN","NaN","NaN"," Inceptisol  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GROA site.ID = 13945",0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",NA,NA,NA,NA,NA,FALSE,TRUE
"ForC",1426,"Pao",NA,NA,NA,"NAC","Heredia","Costa Rica",10.431,-84.0157,"65",NA,"25.2","NAC","NAC","3892",NA,"NAC","NAC","NAC","NAC","Inceptisol",NA,"NAC",NA,"1","Neotropics","Am","Tropical rainforest",1289,"Cifuentes-Jara_2008_abae",NA,NA,NA,"Bonner_2013_amgc",NA,1,"1","1",NA,"",FALSE,FALSE
"GROA",2569,"Pao",NA,NA,NA,"NAC","Heredia","Costa Rica",10.431,-84.0157,"65",NA,"25.2","NAC","NAC","3892",NA,"","NaN","NaN","NaN"," Inceptisol  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GROA site.ID = 13931",0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",NA,NA,NA,NA,NA,FALSE,TRUE
"ForC",1428,"Paragominas",NA,NA,"","Paragominas","Para","Brazil",-2.983333,-47.516667,"NI",NA,"24.1","NAC","NAC","1750",NA,"clay","NAC","NAC","NAC","Latosol","Kaolinic yellow latosols","NAC","Tropical evergreen","252","Neotropics","Am","Tropical rainforest",91,"Trumbore_2006_dofr; Luyssaert_2007_cbob; Clark_2001_nppi; Clark_2013_ntfc; Malhi_2011_taoe","Clark_2001_nppi","Trumbore 1995; J. Chambers & D. Nepstad; pers. comm.",NA,NA,NA,121,"1",NA,NA,"",FALSE,FALSE
"ForC",2110,"Paragominas",NA,NA,NA,"NAC","Para","Brazil",-2.8,-47.52,"NAC",NA,"26.7","NAC","NAC","1750",NA,"NAC","NAC","NAC","NAC","NAC","NAC",NA,NA,"","Neotropic","Am","Tropical rainforest",NA,"Trumbore_1995_bcoc","Trumbore_1995_bcoc",NA,NA,"Taylor_2017_tari","Becky Banbury Morgan",NA,"","",NA,"",FALSE,FALSE
"GROA",2529,"Paragominas",NA,NA,NA,"NAC","Para","Brazil",-3,-47.5,"NAC",NA,"25.2","NAC","NAC","1750",NA,"clay","NaN","NaN","NaN","oxisols",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GROA site.ID = 277",0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",NA,NA,NA,NA,NA,FALSE,TRUE
"GROA",2610,"Paragominas",NA,NA,NA,"NAC","Para","Brazil",-3,-47.5,"NAC",NA,"25.2","NAC","NAC","1750",NA,"clay","NaN","NaN","NaN","Oxisol/Ultisols",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GROA site.ID = 277",0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",NA,NA,NA,NA,NA,FALSE,TRUE
"ForC",1438,"Parque Nacional Palo Verde: area de Conservacion Tempisque",NA,NA,"","Palo Verde","Guanacaste","Costa Rica",10.383618,-85.334663,"NAC","Original coordinates (10.583, -85.583) not in Palo Verde. Original pub does not have coords. Replaced with coords from Google Maps for Parque Nacional Palo Verde","25","NAC","NAC","1444",NA,"NAC","NAC","NAC","NAC","NAC","Developed from alluvial areas along the floodplain and wetlands of the Tempisque River and the eroding limestone hills.","NAC",NA,"604","Neotropics","Aw","Tropical moist forest",290,"Becknell_2014_saas",NA,NA,NA,NA,NA,0,"0",NA,NA,"",FALSE,FALSE
"GROA",2222,"Parque Nacional Palo Verde: area de Conservacion Tempisque",NA,NA,NA,"NAC","Guanacaste","Costa Rica",10.383618,-85.334663,"NAC",NA,"NAC","NAC","NAC","1444",NA,"36.33.31","NaN","NaN","NaN","NAC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GROA site.ID = 304",0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",NA,NA,NA,NA,NA,FALSE,TRUE
"ForC",2484,"Pen Branch/Fourmile Branch",NA,NA,NA,"NAC","South Carolina","United States",33.161944,-81.739444,"NAC",NA,"NAC","NAC","NAC","NAC",NA,"NAC","NAC","NAC","NAC","NAC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GROA site.ID = 3781",0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",NA,NA,NA,NA,NA,TRUE,FALSE
"GROA",2485,"Pen Branch/Fourmile Branch",NA,NA,NA,"NAC","South Carolina","United States",33.161944,-81.739444,"NAC",NA,"NAC","NAC","NAC","NAC",NA,"NAC","NAC","NAC","NAC","NAC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GROA site.ID = 3781",0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",NA,NA,NA,NA,NA,FALSE,TRUE
"ForC",2255,"Perloja Experimental Station",NA,NA,NA,"NAC","","Lithuania",54.166667,24.416667,"NAC",NA,"6.1","NAC","NAC","640",NA,"","NaN","NaN","NaN","Arenosol",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GROA site.ID = 3140",0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",NA,NA,NA,NA,NA,TRUE,FALSE
"GROA",2392,"Perloja Experimental Station",NA,NA,NA,"NAC","NAC","Lithuania",54.166667,24.416667,"110",NA,"6.2","NAC","NAC","682",NA,"","NaN","NaN","NaN","arenosols",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GROA site.ID = 3140",0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",NA,NA,NA,NA,NA,FALSE,TRUE
"GROA",4331,"Perloja Experimental Station",NA,NA,NA,"NAC","","Lithuania",54.166667,24.416667,"NAC",NA,"6.2","NAC","NAC","680",NA,"","NaN","NaN","NaN","NAC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GROA site.ID = 13974",0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",NA,NA,NA,NA,NA,FALSE,TRUE
"ForC",1447,"Pifo Polylepis Forest",NA,NA,"","NAC","Pichincha","Ecuador",-0.233,-78.25,"3900",NA,"6.6","NAC","NAC","1500",NA,"NAC","NAC","NAC","NAC","NAC","Soils are formed in young volcanic ashes that are high in biotite and were deposited 330 years ago by the last major eruption of the Cotopaxi volcano, which did not reach the Oyacachi area (Hall","NAC",NA,"598","Neotropics","Cfb","Tropical mountain system",129,"Fehse_2002_hats",NA,NA,NA,NA,NA,0,"0",NA,NA,"",FALSE,FALSE
"GROA",2469,"Pifo Polylepis Forest",NA,NA,NA,"NAC","Pichincha","Ecuador",-0.233,-78.25,"3600",NA,"6.6","NAC","NAC","1500",NA,"","NaN","NaN","NaN","Young volcanic ashes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GROA site.ID = 290",0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",NA,NA,NA,NA,NA,FALSE,TRUE
"ForC",1450,"Piro",NA,NA,"","NAC","Puntarenas","Costa Rica",8.4055,-83.3408,"15",NA,"27.4","NAC","NAC","4200",NA,"NAC","NAC","NAC","NAC","Ultisol",NA,"NAC",NA,"116","Neotropics","Af","Tropical rainforest",1299,"Cifuentes-Jara_2008_abae",NA,NA,NA,"Bonner_2013_amgc",NA,0,"0",NA,NA,"",FALSE,FALSE
"GROA",2534,"Piro",NA,NA,NA,"NAC","Puntarenas","Costa Rica",8.4055,-83.3408,"15",NA,"27.4","NAC","NAC","4200",NA,"","NaN","NaN","NaN"," Ultisol  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GROA site.ID = 13941",0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",NA,NA,NA,NA,NA,FALSE,TRUE
"ForC",1452,"Pitahaya",NA,NA,"","NAC","Guanacaste","Costa Rica",10.8732,-85.5788,"243",NA,"26.2","NAC","NAC","1613",NA,"NAC","NAC","NAC","NAC","Entisol",NA,"NAC",NA,"69","Neotropics","Aw","Tropical dry forest",1260,"Cifuentes-Jara_2008_abae",NA,NA,NA,"Bonner_2013_amgc",NA,34,"8","NAC",NA,"",FALSE,FALSE
"GROA",2582,"Pitahaya",NA,NA,NA,"NAC","Guanacaste","Costa Rica",10.8732,-85.5788,"243",NA,"26.2","NAC","NAC","1613",NA,"","NaN","NaN","NaN"," Entisol  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GROA site.ID = 13901",0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",NA,NA,NA,NA,NA,FALSE,TRUE
"ForC",1453,"Pocosol",NA,NA,"","NAC","Guanacaste","Costa Rica",10.8889,-85.6004,"278",NA,"25.9","NAC","NAC","1613",NA,"NAC","NAC","NAC","NAC","Entisol",NA,"NAC",NA,"69","Neotropics","Aw","Tropical dry forest",1262,"Cifuentes-Jara_2008_abae",NA,NA,NA,"Bonner_2013_amgc",NA,34,"9","NAC",NA,"",FALSE,FALSE
"GROA",2585,"Pocosol",NA,NA,NA,"NAC","Guanacaste","Costa Rica",10.8889,-85.6004,"278",NA,"25.9","NAC","NAC","1613",NA,"","NaN","NaN","NaN"," Entisol  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GROA site.ID = 13903",0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",NA,NA,NA,NA,NA,FALSE,TRUE
"ForC",1464,"Porce II chronosequence 2",NA,NA,"","NAC","Antioquia","Colombia",6.760278,-75.107778,"975",NA,"22.7","21.3","24.1","2078",NA,"NAC","NAC","NAC","NAC","Entisol; Inceptisol","Twenty soil series have been described in the site and grouped in two main orders: Entisol and Inceptisol. The most common soil subgroups are Ustoxic Dystropept, Typic Tropaquent, and Typic Tropopsamment.","NAC",NA,"615","Neotropics","Af","Tropical mountain system",266,"Sierra_2012_tcai",NA,NA,NA,NA,NA,253,"1",NA,NA,"",FALSE,FALSE
"GROA",2612,"Porce II chronosequence 2",NA,NA,NA,"NAC","Antioquia","Colombia",6.760278,-75.107778,"1050",NA,"22.7","NAC","NAC","2078",NA,"NAC","NAC","NAC","NAC","Entisol; Inceptisol",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GROA site.ID = 283",0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",NA,NA,NA,NA,NA,FALSE,TRUE
"ForC",1478,"Principe",NA,NA,"","NAC","Guanacaste","Costa Rica",10.8533,-85.6081,"273",NA,"26","NAC","NAC","1563",NA,"NAC","NAC","NAC","NAC","Entisol",NA,"NAC",NA,"69","Neotropics","Aw","Tropical dry forest",1266,"Cifuentes-Jara_2008_abae",NA,NA,NA,"Bonner_2013_amgc",NA,34,"10","NAC",NA,"",FALSE,FALSE
"GROA",2580,"Principe",NA,NA,NA,"NAC","Guanacaste","Costa Rica",10.8533,-85.6081,"273",NA,"26","NAC","NAC","1563",NA,"","NaN","NaN","NaN"," Entisol  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GROA site.ID = 13908",0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",NA,NA,NA,NA,NA,FALSE,TRUE
"ForC",1481,"Pumilio",NA,NA,"","NAC","Heredia","Costa Rica",10.506,-84.0561,"79",NA,"25.1","NAC","NAC","4017",NA,"NAC","NAC","NAC","NAC","Inceptisol",NA,"NAC",NA,"1","Neotropics","Am","Tropical rainforest",1300,"Cifuentes-Jara_2008_abae",NA,NA,NA,"Bonner_2013_amgc",NA,0,"0",NA,NA,"",FALSE,FALSE
"GROA",2574,"Pumilio",NA,NA,NA,"NAC","Heredia","Costa Rica",10.506,-84.0561,"79",NA,"25.1","NAC","NAC","4017",NA,"","NaN","NaN","NaN"," Inceptisol  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GROA site.ID = 13942",0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",NA,NA,NA,NA,NA,FALSE,TRUE
"ForC",1507,"Quesera",NA,NA,"","NAC","Puntarenas","Costa Rica",9.8019,-84.9051,"30",NA,"27.7","NAC","NAC","2042",NA,"NAC","NAC","NAC","NAC","Alfisol",NA,"NAC",NA,"215","Neotropics","Aw","Tropical moist forest",1275,"Cifuentes-Jara_2008_abae",NA,NA,NA,"Bonner_2013_amgc",NA,0,"0",NA,NA,"",FALSE,FALSE
"GROA",2545,"Quesera",NA,NA,NA,"NAC","Puntarenas","Costa Rica",9.8019,-84.9051,"30",NA,"27.7","NAC","NAC","2042",NA,"","NaN","NaN","NaN"," Alfisol  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GROA site.ID = 13917",0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",NA,NA,NA,NA,NA,FALSE,TRUE
"ForC",1530,"Rio Mameyes abandoned pastures chronosequence",NA,NA,"","NAC","Puerto Rico","United States of America",18.334,-65.7553,"125","coords obtained from comparing map in paper with google maps","25","NAC","NAC","3000",NA,"clay","NAC","NAC","NAC","Ultisol","Primary Ultisols in the Humatas series","NAC",NA,"81","Neotropics","Am","Tropical rainforest",362,"Aide_1995_fria",NA,NA,NA,NA,NA,89,"1",NA,NA,"",FALSE,FALSE
"GROA",2506,"Rio Mameyes abandoned pastures chronosequence",NA,NA,NA,"NAC","Puerto Rico","United States",18.334,-65.7553,"125",NA,"NAC","NAC","NAC","3162",NA,"","NaN","NaN","NaN","NAC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GROA site.ID = 285",0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",NA,NA,NA,NA,NA,FALSE,TRUE
"ForC",1531,"Rio Negro age sequence",NA,NA,"","San Carlos de Rio Negro","Amazonas","Venezuela",1.933333,-67.05,"119","4 km east of the village of San Carlos de Rio Negro.","26.88","NAC","NAC","3500",NA,"sandy","NAC","NAC","NAC","Oxisol","The topography consists of gently rolling hills which rise up to 50 m above the mean river level. The hill forests are never flooded and have soils consisting of a sandy horizon (from a few centimetres to 2 m in depth) over- lying a thick horizon composed of kaolinite clay and lateritic concretions. These soils are classified as Oxisols (United States 7th approximation) or Ferralsols (FAO classification). Both horizons are acid and highly weathered, and have low cation exchange capacity and high iron and aluminum content (Jordan 1982). Above the mineral soil is a mat of humus and roots which plays an important role in nutrient cycling (Jordan and Herrera 1981).","NAC",NA,"657","Neotropics","Af","Tropical rainforest",175,"Uhl_1984_sand; Uhl_1987_fcsf","Jordan_1981_trfa; Jordan_1982_tnbo",NA,NA,NA,NA,259,"1,2,3,4",NA,NA,"needs review",FALSE,FALSE
"GROA",2528,"Rio Negro age sequence",NA,NA,NA,"NAC","","Venezuela",1.933333,-67.05,"119",NA,"26.88","NAC","NAC","3500",NA,"sand","NaN","NaN","NaN","oxisols",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GROA site.ID = 274",0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",NA,NA,NA,NA,NA,FALSE,TRUE
"ForC",1533,"Rio Sabana abandoned pastures chronosequence",NA,NA,"","NAC","Puerto Rico","United States of America",18.33,-65.73,"125","coords obtained from comparing map in paper with google maps","25","NAC","NAC","3000",NA,"clay","NAC","NAC","NAC","Ultisol","Primary Ultisols in the Zarzal-Cristal complex.","NAC",NA,"81","Neotropics","Am","Tropical rainforest",361,"Aide_1995_fria",NA,NA,NA,NA,NA,89,"1",NA,NA,"",FALSE,FALSE
"GROA",2505,"Rio Sabana abandoned pastures chronosequence",NA,NA,NA,"NAC","Puerto Rico","United States",18.33,-65.73,"125",NA,"NAC","NAC","NAC","3162",NA,"","NaN","NaN","NaN","NAC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GROA site.ID = 284",0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",NA,NA,NA,NA,NA,FALSE,TRUE
"ForC",2197,"Roxton Falls",NA,NA,NA,"NAC","Quebec","Canada",45.569722,-72.531111,"145",NA,"NAC","NAC","NAC","NAC",NA,"","NaN","NaN","NaN","NAC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GROA site.ID = 3538",0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",NA,NA,NA,NA,NA,TRUE,FALSE
"GROA",2257,"Roxton Falls",NA,NA,NA,"NAC","Quebec","Canada",45.569722,-72.531111,"145",NA,"NAC","NAC","NAC","NAC",NA,"","NaN","NaN","NaN","NAC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GROA site.ID = 3538",0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",NA,NA,NA,NA,NA,FALSE,TRUE
"ForC",1549,"S village Karen area swidden cultivation fallow chronosequence",NA,NA,"","Karen","Bago","Myanmar",18.866667,95.883333,"350",NA,"NAC","21.4","32.7","1966","Most of the rainfall occurs during the rainy season (May-Oct)","NAC","NAC","NAC","NAC","Ultisol",NA,"NAC",NA,"53","IndoMalay","Aw","Tropical rainforest",1232,"Fukushima_2007_rpof",NA,NA,NA,"Bonner_2013_amgc",NA,19,"1","0",NA,"need to return to two original refs",FALSE,FALSE
"GROA",2621,"S village Karen area swidden cultivation fallow chronosequence",NA,NA,NA,"NAC","Bago","Myanmar",18.866667,95.883333,"350",NA,"NAC","NAC","NAC","1966",NA,"","NaN","NaN","NaN","Ultisol",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GROA site.ID = 3528",0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",NA,NA,NA,NA,NA,FALSE,TRUE
"ForC",1555,"S5",NA,NA,NA,"Co Ma","Son La","Vietnam",21.383,103.649,"1300",NA,"21.07","14","22","1277",NA,"NAC","NAC","NAC","NAC","Ferralic Acrisols","In this area, the dominant soil type is Ferralic Acrilsols, acidic soils with low base saturation and poor nutrient content. Humic Acrisols and Rhodic Ferralsols are also found occasionally.","NAC",NA,"664","IndoMalay","Cwa","Tropical mountain system",389,"Tran_2010_rpoa",NA,NA,NA,NA,NA,262,"1","1",NA,"",FALSE,FALSE
"GROA",2336,"S5",NA,NA,NA,"NAC","","China",33.586389,107.849722,"1269",NA,"11.8","NAC","NAC","1075",NA,"NAC","NAC","NAC","NAC","NAC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GROA site.ID = 3577",0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",NA,NA,NA,NA,NA,FALSE,TRUE
"ForC",1557,"Sa S14",NA,NA,"","NAC","Mouhoun","Burkina Faso",12.65,-3.28333,"300",NA,"NAC","16","40","679","dry season 5-7 months","NAC","NAC","NAC","NAC","gleyic cambisol","gleyic cambisol, ferruginous","NAC",NA,"666","Afrotropics","BSh","Tropical dry forest",321,"Nygard_2004_wyis",NA,NA,NA,NA,NA,0,"0",NA,NA,"",FALSE,FALSE
"GROA",2617,"Sa S14",NA,NA,NA,"NAC","Mouhoun","Burkina Faso",12.65,-3.28,"300",NA,"NAC","NAC","NAC","679",NA,"","NaN","NaN","NaN","gleyic cambisol",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GROA site.ID = 344",0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",NA,NA,NA,NA,NA,FALSE,TRUE
"ForC",1558,"Sabalo",NA,NA,NA,"NAC","Heredia","Costa Rica",10.4165,-84.0029,"74",NA,"25.2","NAC","NAC","3892",NA,"NAC","NAC","NAC","NAC","Inceptisol",NA,"NAC",NA,"1","Neotropics","Am","Tropical rainforest",1291,"Cifuentes-Jara_2008_abae",NA,NA,NA,"Bonner_2013_amgc",NA,1,"1","1",NA,"",FALSE,FALSE
"GROA",2564,"Sabalo",NA,NA,NA,"NAC","Heredia","Costa Rica",10.4165,-84.0029,"74",NA,"25.2","NAC","NAC","3892",NA,"","NaN","NaN","NaN"," Inceptisol  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GROA site.ID = 13933",0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",NA,NA,NA,NA,NA,FALSE,TRUE
"ForC",1588,"San Carlos de Rio Negro abandoned slash-and-burn plots",NA,NA,"","NAC","Amazonas","Venezuela",1.93,-67.05,"NAC",NA,"26","NAC","NAC","3500","dry season Oct-March","NAC","NAC","NAC","NAC","NAC",NA,"NAC",NA,"657","Neotropics","Af","Tropical rainforest",1408,"Kauffman_1988_fitv","Uhl_1984_sand",NA,NA,"Chao_2009_atdq",NA,259,"2",NA,NA,"needs review",FALSE,FALSE
"GROA",2626,"San Carlos de Rio Negro abandoned slash-and-burn plots",NA,NA,NA,"NAC","","Venezuela",1.933333,-67.05,"NAC",NA,"26","NAC","NAC","3500",NA,"NAC","NAC","NAC","NAC","Oxisols",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GROA site.ID = 274",0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",NA,NA,NA,NA,NA,FALSE,TRUE
"ForC",1606,"Santa Teresa",NA,NA,"","NAC","Puntarenas","Costa Rica",9.7855,-84.9498,"51",NA,"27.6","NAC","NAC","2308",NA,"NAC","NAC","NAC","NAC","Alfisol",NA,"NAC",NA,"215","Neotropics","Aw","Tropical moist forest",1278,"Cifuentes-Jara_2008_abae",NA,NA,NA,"Bonner_2013_amgc",NA,0,"0",NA,NA,"",FALSE,FALSE
"GROA",2542,"Santa Teresa",NA,NA,NA,"NAC","Puntarenas","Costa Rica",9.7855,-84.9498,"51",NA,"27.6","NAC","NAC","2308",NA,"","NaN","NaN","NaN"," Alfisol  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GROA site.ID = 13920",0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",NA,NA,NA,NA,NA,FALSE,TRUE
"ForC",2285,"Sarapiqui",NA,NA,NA,"NAC","Heredia","Costa Rica",10.433333,-86.983333,"NAC",NA,"NAC","NAC","NAC","NAC",NA,"","NaN","NaN","NaN","NAC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GROA site.ID = 3901",0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",NA,NA,NA,NA,NA,TRUE,FALSE
"GROA",2349,"Sarapiqui",NA,NA,NA,"NAC","Heredia","Costa Rica",10.43,-83.98,"120",NA,"26.5","NAC","NAC","3900",NA,"","NaN","NaN","NaN","oxisols",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GROA site.ID = 39",0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",NA,NA,NA,NA,NA,FALSE,TRUE
"ForC",1641,"SAT 1000",NA,NA,NA,"NAC","Heredia","Costa Rica",10.4319,-84.0218,"76",NA,"25.1","NAC","NAC","3892",NA,"NAC","NAC","NAC","NAC","Inceptisol",NA,"NAC",NA,"1","Neotropics","Am","Tropical rainforest",1288,"Cifuentes-Jara_2008_abae",NA,NA,NA,"Bonner_2013_amgc",NA,1,"1","1",NA,"",FALSE,FALSE
