"FROM","site.ID","sites.sitename","network","alt.names","super.site","city","state","country","lat","lon","masl","geography.notes","mat","min.temp","max.temp","map","climate.notes","soil.texture","sand","silt","clay","soil.classification","soil.notes","hydrology.notes","site.notes","geographic.area","biogeog","Koeppen","FAO.ecozone","site.ID.v1","measurement.refs","site.ref","ref.notes","lacks.info.from.ori.pub","loaded.from","loaded.by","potential_duplicate_group","potential_duplicate_group_parsed","confirmed.unique","potential.duplicates.manual","duplicate.notes","NEW_RECORD","OLD_RECORD"
"ForC",974,"Lake Duparquet chronosequence",NA,NA,"","Lake Duparquet","Quebec","Canada",48.5,-79.333333,"NAC",NA,"0.6","NAC","NAC","822.7",NA,"clay","NAC","NAC","NAC","Luvisol","The region is part of the northern Clay Belt, a large physiographic region characterized by lacustrine clay deposits left by the proglacial lakes Barlow and Ojibway. This site type is dominant in the region and the soils are classified as Grey Luvisols.",NA,NA,"407","Nearctic","Dfb","Boreal coniferous forest",NA,"Pare_1995_abaa",NA,NA,NA,"Anderson_2006_toba",NA,0,"0",NA,NA,"",FALSE,FALSE
"GROA",2589,"Lake Duparquet chronosequence",NA,NA,NA,"NAC","Quebec","Canada",48.5,-79.333333,"300",NA,"0.6","NAC","NAC","823",NA,"clay","NaN","NaN","NaN","Luvisol",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GROA site.ID = 6901",0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",NA,NA,NA,NA,NA,FALSE,TRUE
"ForC",988,"Lapas",NA,NA,"","NAC","Puntarenas","Costa Rica",9.7792,-84.6058,"46",NA,"27.6","NAC","NAC","3500",NA,"NAC","NAC","NAC","NAC","Inceptisol",NA,"NAC",NA,"113","Neotropics","Aw","Tropical moist forest",1282,"Cifuentes-Jara_2008_abae",NA,NA,NA,"Bonner_2013_amgc",NA,0,"0",NA,NA,"",FALSE,FALSE
"GROA",2540,"Lapas",NA,NA,NA,"NAC","Puntarenas","Costa Rica",9.7792,-84.6058,"46",NA,"27.6","NAC","NAC","3500",NA,"","NaN","NaN","NaN"," Inceptisol  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GROA site.ID = 13924",0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",NA,NA,NA,NA,NA,FALSE,TRUE
"ForC",1010,"Leuser Ecosystem chronosequence",NA,NA,"","Telaga","North Sumatra","Indonesia",3.789,97.872,"1100",NA,NA,"NAC","NAC",NA,NA,"NAC","NAC","NAC","NAC","NAC",NA,"NAC",NA,"423","IndoMalay","Af","Tropical mountain system",193,"Aththorick_2012_vssa",NA,NA,NA,NA,NA,0,"0",NA,NA,"",FALSE,FALSE
"GROA",2614,"Leuser Ecosystem chronosequence",NA,NA,NA,"NAC","North Sumatra","Indonesia",3.789,97.872,"1100",NA,"26.18","NAC","NAC","2777",NA,"","NaN","NaN","NaN","NAC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GROA site.ID = 309",0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",NA,NA,NA,NA,NA,FALSE,TRUE
"ForC",1050,"Los Tuxtlas",NA,NA,"","NAC","Veracruz","Mexico",18.58,-95.08,"NAC",NA,"27","NAC","NAC","4700",NA,"NAC","NAC","NAC","NAC","NAC",NA,"NAC",NA,"442","Neotropics","Am","Tropical rainforest",367,"Poorter_2015_decs; Hughes_2000_eiod",NA,NA,NA,NA,NA,208,"1",NA,NA,"needs review",FALSE,FALSE
"GROA",2450,"Los Tuxtlas",NA,NA,NA,"NAC","Veracruz","Mexico",18.583333,-95.083333,"NAC",NA,"27","NAC","NAC","4000",NA,"NAC","NAC","NAC","NAC","vitric Andosols",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GROA site.ID = 2261",0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",NA,NA,NA,NA,NA,FALSE,TRUE
"GROA",2494,"Los Tuxtlas",NA,NA,NA,"NAC","Veracruz","Mexico",18.583333,-95.083333,"200",NA,"27","NAC","NAC","4000",NA,"NAC","NAC","NAC","NAC","Andosol",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GROA site.ID = 2261",0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",NA,NA,NA,NA,NA,FALSE,TRUE
"ForC",1063,"Luciano",NA,NA,"","NAC","Puntarenas","Costa Rica",9.7713,-84.614,"101",NA,"27.3","NAC","NAC","3100",NA,"NAC","NAC","NAC","NAC","Ultisol",NA,"NAC",NA,"113","Neotropics","Aw","Tropical moist forest",1284,"Cifuentes-Jara_2008_abae",NA,NA,NA,"Bonner_2013_amgc",NA,0,"0",NA,NA,"",FALSE,FALSE
