"plot.id","sites.sitename","plot.name","plot.area","establishment.ID","year.establishment.oldest.trees","regrowth.ID","regrowth.type","regrowth.year","dist.mrs.ID","distmrs.type","mortality","distmrs.yr","dist.additional.mrs.ID","prior.history.ID","dist1.ID","dist1.type","dist1.mort","dist1.year","dist2.ID","dist2.type","dist2.mort","dist2.year","additional.dist.ID","management.CO2.ID","management.temperature.ID","management.hydrology.ID","management.nutrients.ID","management.biota.ID","management.other.ID"
640,"Deep Throat","Tropical Dry Forest recovery following pasture abandonment","NAC",640.03,"NI",640.02,"Initiation of post-disturbance cohort (natural)","NI",640.01,"Grazed","100","NI",0,0,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0
665,"Divino","Tropical Moist Forest recovery following pasture abandonment","NAC",665.03,"NI",665.02,"Initiation of post-disturbance cohort (natural)","NI",665.01,"Grazed","100","NI",0,0,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0
688,"Don Juan","Tropical Wet Forest recovery following pasture abandonment","NAC",688.03,"NI",688.02,"Initiation of post-disturbance cohort (natural)","NI",688.01,"Grazed","100","NI",0,0,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0
693,"Dos Ases","Premontane Rain Forest recovery following pasture abandonment","NAC",693.03,"NI",693.02,"Initiation of post-disturbance cohort (natural)","NI",693.01,"Grazed","100","NI",0,0,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0
694,"Downey","Tropical Moist Forest recovery following pasture abandonment","NAC",694.03,"NI",694.02,"Initiation of post-disturbance cohort (natural)","NI",694.01,"Grazed","100","NI",0,0,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0
695,"Dubya","Tropical Moist Forest recovery following pasture abandonment","NAC",695.03,"NI",695.02,"Initiation of post-disturbance cohort (natural)","NI",695.01,"Grazed","100","NI",0,0,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0
738,"El Eden Ecological Reserve fire chronosequence","Forest recovery following fire.1-y","0.3",738.06,"2002.161644",738.05,"Initiation of post-disturbance cohort (natural)","2002.161644",738.04,"Burned","100","2002.161644",738,0,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0
739,"El Eden Ecological Reserve fire chronosequence","Forest recovery following fire.14-y","0.3",739.06,"1989.161644",739.05,"Initiation of post-disturbance cohort (natural)","1989.161644",739.04,"Burned","100","1989.161644",739,0,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0
740,"El Eden Ecological Reserve fire chronosequence","Forest recovery following fire.28-y","0.3",740.06,"1975.161644",740.05,"Initiation of post-disturbance cohort (natural)","1975.161644",740.04,"Burned","100","1975.161644",740,0,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0
741,"El Eden Ecological Reserve fire chronosequence","Forest recovery following fire.4-y","0.3",741.06,"1999.161644",741.05,"Initiation of post-disturbance cohort (natural)","1999.161644",741.04,"Burned","100","1999.161644",741,0,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0
742,"El Eden Ecological Reserve fire chronosequence","Forest recovery following fire.8-y","0.3",742.06,"1995.161644",742.05,"Initiation of post-disturbance cohort (natural)","1995.161644",742.04,"Burned","100","1995.161644",742,0,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0
752,"El Pozo","Tropical Dry Forest recovery following pasture abandonment","NAC",752.03,"NI",752.02,"Initiation of post-disturbance cohort (natural)","NI",752.01,"Grazed","100","NI",0,0,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0
767,"El Tanque","Tropical Moist Forest recovery following pasture abandonment","NAC",767.03,"NI",767.02,"Initiation of post-disturbance cohort (natural)","NI",767.01,"Grazed","100","NI",0,0,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0
790,"Erastvere","Forest recovery following agricultural abandonment","NAC",790.03,"1964",790.02,"Initiation of post-disturbance cohort (natural)","1964",790.01,"Cultivation","100","NAC",0,0,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0
812,"Fazenda Vitoria 2","Forest recovery following clear-cut and pasture","NI",0,"NAC",812.03,"Initiation of post-disturbance cohort (natural)","1981",812.02,"Grazed","100","1971",812.01,0,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0
815,"Fazenda Vitoria","Forest recovery following 1984 pasture abandonment","NAC",815.05,"1993",815.03,"Initiation of post-disturbance cohort (natural)","1984",815.01,"Grazed","100","1971",0,0,815.04,"Burned","<100%","1993",0,NA,NA,NA,0,0,0,0,0,815.02,0
829,"Firebreaks","Tropical Dry Forest recovery following pasture abandonment","NAC",829.03,"NI",829.02,"Initiation of post-disturbance cohort (natural)","NI",829.01,"Grazed","100","NI",0,0,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0
1003,"Hondura","Premontane Rain Forest recovery following pasture abandonment","NAC",1003.03,"NI",1003.02,"Initiation of post-disturbance cohort (natural)","NI",1003.01,"Grazed","100","NI",0,0,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0
1006,"Hotel","Premontane Wet, Transition to Basal, Pacific Forest recovery following pasture abandonment","NAC",1006.03,"NI",1006.02,"Initiation of post-disturbance cohort (natural)","NI",1006.01,"Grazed","100","NI",0,0,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0
1036,"Iguana","Tropical Moist Forest recovery following pasture abandonment","NAC",1036.03,"NI",1036.02,"Initiation of post-disturbance cohort (natural)","NI",1036.01,"Grazed","100","NI",0,0,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0
1151,"Kambja","Forest recovery following agricultural abandonment.13 y","NAC",1151.02,"1996",1151.01,"Initiation of post-disturbance cohort (natural)","1996",0,"NAC","NAC","NAC",0,0,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0
