"site.ID","sites.sitename","network","alt.names","super.site","city","state","country","lat","lon","masl","geography.notes","mat","min.temp","max.temp","map","climate.notes","soil.texture","sand","silt","clay","soil.classification","soil.notes","hydrology.notes","site.notes","geographic.area","biogeog","Koeppen","FAO.ecozone","site.ID.v1","measurement.refs","site.ref","ref.notes","lacks.info.from.ori.pub","loaded.from","loaded.by","potential_duplicate_group","potential_duplicate_group_parsed","confirmed.unique","potential.duplicates.manual","duplicate.notes","NEW_RECORD","GROA.site.ID","OLD_RECORD"
4319,"La Selva",NA,NA,NA,"NAC","","Costa Rica",10.433333,-83.983333,"93",NA,"24","NAC","NAC","3800",NA,"","NaN","NaN","NaN","andept",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",1,"1",NA,NA,NA,TRUE,3907,FALSE
4320,"La Selva",NA,NA,NA,"NAC","Heredia","Costa Rica",10.433333,-83.983333,"NAC",NA,"NAC","NAC","NAC","NAC",NA,"","NaN","NaN","NaN","NAC",NA,NA,NA,NA,NA,NA,NA,NA,"Roth_1994_laop",NA,NA,0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",1,"1",NA,NA,NA,TRUE,5577,FALSE
963,"La Selva (Russell)",NA,NA,"La Selva","NAC","Heredia","Costa Rica",10.43,-83.98,"71.5","elevation range: 44-89","25.8","NAC","NAC","3960",NA,"NAC","NAC","NAC","NAC","NAC",NA,"NAC",NA,"1","Neotropics","Af","Tropical rainforest",1379,"Russell_2010_ioit",NA,"Russell et al. 2010 [83]",NA,"Malhi_2011_taoe",NA,1,"1","1",NA,"four blocks of twelve 0.5ha plots (48 0.25ha plots total), plus four 14x8m plots in abandoned pasture between Blocks 1 and 4 for reference",FALSE,NA,NA
964,"La Selva Biological Station",NA,NA,"La Selva","Puerto Viejo de Sarapapiqui","Heredia","Costa Rica",10.43,-83.98,"85",NA,"24.75","NAC","NAC","4250",NA,"clay loam","NAC","NAC","NAC","NAC",NA,"NAC",NA,"1","Neotropics","Af","Tropical rainforest",294,"Clark_2013_ntfl; Davidson_2002_bcai",NA,"Clark_1998",NA,NA,NA,1,"1","0",NA,"",FALSE,NA,NA
965,"La Selva Biological Station.CARBONO project",NA,NA,"La Selva","Puerto Viejo de Sarapapiqui","Heredia","Costa Rica",10.423333,-84.021111,"115",NA,"24.6","NAC","NAC","4000",NA,"NAC","NAC","NAC","NAC","Ultisol; Inceptisol","Soils range from relatively fertile Inceptisols in riverine areas to low pH, low phosphorus Ultisols in upland area.","NAC",NA,"1","Neotropics","Am","Tropical rainforest",293,"Loescher_2003_econ; Clark_2000_lvif",NA,NA,NA,NA,NA,1,"1","1",NA,"18 0.5ha plots",FALSE,NA,NA
966,"La Selva Biological Station.OTS plots",NA,NA,"La Selva","Puerto Viejo de Sarapapiqui","Heredia","Costa Rica",10.43,-83.983333,"90",NA,"24","NAC","NAC","4000",NA,"NAC","NAC","NAC","NAC","Inceptisol",NA,"NAC",NA,"1","Neotropics","Af","Tropical rainforest",292,"Clark_2000_lvif",NA,"Lieberman and Lieberman 1987; Lieberman and Lieberman 1994",NA,"Keith_2009_rofb; Liu_2014_htpa",NA,1,"1","1",NA,"three 4ha plots",FALSE,NA,NA
967,"La Selva Biological Station.Vegetation map plots",NA,NA,"La Selva","Puerto Viejo de Sarapapiqui","Heredia","Costa Rica",10.43,-84,"94",NA,"26","NAC","NAC","4000",NA,"NAC","NAC","NAC","NAC","NAC",NA,"NAC",NA,"1","Neotropics","Af","Tropical rainforest",291,"Clark_2000_lvif",NA,"Clark_1998",NA,"Keith_2009_rofb; Liu_2014_htpa",NA,1,"1","1",NA,"1170 0.1ha plots spaced on a regular grid",FALSE,NA,NA
1426,"Pao",NA,NA,NA,"NAC","Heredia","Costa Rica",10.431,-84.0157,"65",NA,"25.2","NAC","NAC","3892",NA,"NAC","NAC","NAC","NAC","Inceptisol",NA,"NAC",NA,"1","Neotropics","Am","Tropical rainforest",1289,"Cifuentes-Jara_2008_abae",NA,NA,NA,"Bonner_2013_amgc",NA,1,"1","1",NA,"",FALSE,NA,NA
2569,"Pao",NA,NA,NA,"NAC","Heredia","Costa Rica",10.431,-84.0157,"65",NA,"25.2","NAC","NAC","3892",NA,"","NaN","NaN","NaN"," Inceptisol  ",NA,NA,NA,NA,NA,NA,NA,NA,"Cifuentes-Jara_2008_abae",NA,NA,0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",1,"1",NA,NA,NA,TRUE,13931,FALSE
1558,"Sabalo",NA,NA,NA,"NAC","Heredia","Costa Rica",10.4165,-84.0029,"74",NA,"25.2","NAC","NAC","3892",NA,"NAC","NAC","NAC","NAC","Inceptisol",NA,"NAC",NA,"1","Neotropics","Am","Tropical rainforest",1291,"Cifuentes-Jara_2008_abae",NA,NA,NA,"Bonner_2013_amgc",NA,1,"1","1",NA,"",FALSE,NA,NA
2564,"Sabalo",NA,NA,NA,"NAC","Heredia","Costa Rica",10.4165,-84.0029,"74",NA,"25.2","NAC","NAC","3892",NA,"","NaN","NaN","NaN"," Inceptisol  ",NA,NA,NA,NA,NA,NA,NA,NA,"Cifuentes-Jara_2008_abae",NA,NA,0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",1,"1",NA,NA,NA,TRUE,13933,FALSE
2349,"Sarapiqui",NA,NA,NA,"NAC","Heredia","Costa Rica",10.43,-83.98,"120",NA,"26.5","NAC","NAC","3900",NA,"","NaN","NaN","NaN","oxisols",NA,NA,NA,NA,NA,NA,NA,NA,"Letcher_2009_rrob",NA,NA,0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",1,"1",NA,NA,NA,TRUE,39,FALSE
2594,"Sarapiqui (Chazdon)",NA,NA,NA,"NAC","","Costa Rica",10.43,-83.98,"NAC",NA,"25.8","NAC","NAC","3962",NA,"","NaN","NaN","NaN","Ultisols",NA,NA,NA,NA,NA,NA,NA,NA,"Chazdon_2005_eoca",NA,NA,0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",1,"1",NA,NA,NA,TRUE,67,FALSE
1610,"Sarapiqui region chronosequence following pasture abandonment",NA,NA,NA,"Sarapiqui","Heredia","Costa Rica",10.433,-83.983,"90","masl = average of elev of different aged sites in Letcher 2009 SuppTable","26.5","NAC","NAC","3900",NA,"NAC","NAC","NAC","NAC","NAC",NA,"NAC",NA,"1","Neotropics","Af","Tropical rainforest",295,"Letcher_2009_rrob",NA,NA,NA,NA,NA,1,"1","1",NA,"",FALSE,NA,NA
1611,"Sarapiqui region chronosequence following rice paddy abandonment",NA,NA,NA,"Sarapiqui","Heredia","Costa Rica",10.433,-83.983,"75","masl = average of elev of different aged sites in Letcher 2009 SuppTable","26.5","NAC","NAC","3900",NA,"NAC","NAC","NAC","NAC","NAC",NA,"NAC",NA,"1","Neotropics","Af","Tropical rainforest",296,"Letcher_2009_rrob",NA,NA,NA,NA,NA,1,"1","1",NA,"",FALSE,NA,NA
1612,"Sarapiqui region chronosequence following slash-and-burn",NA,NA,NA,"Sarapiqui","Heredia","Costa Rica",10.433,-83.983,"133","masl = average of elev of different aged sites in Letcher 2009 SuppTable","26.5","NAC","NAC","3900",NA,"NAC","NAC","NAC","NAC","NAC",NA,"NAC",NA,"1","Neotropics","Af","Tropical rainforest",297,"Letcher_2009_rrob",NA,NA,NA,NA,NA,1,"1","1",NA,"",FALSE,NA,NA
1613,"Sarapiqui region old growth",NA,NA,NA,"Sarapiqui","Heredia","Costa Rica",10.433,-83.983,"107","masl = average of elev of different aged sites in Letcher 2009 SuppTable","26.5","NAC","NAC","3900",NA,"NAC","NAC","NAC","NAC","NAC",NA,"NAC",NA,"1","Neotropics","Af","Tropical rainforest",298,"Letcher_2009_rrob",NA,NA,NA,NA,NA,1,"1","1",NA,"",FALSE,NA,NA
1641,"SAT 1000",NA,NA,NA,"NAC","Heredia","Costa Rica",10.4319,-84.0218,"76",NA,"25.1","NAC","NAC","3892",NA,"NAC","NAC","NAC","NAC","Inceptisol",NA,"NAC",NA,"1","Neotropics","Am","Tropical rainforest",1288,"Cifuentes-Jara_2008_abae",NA,NA,NA,"Bonner_2013_amgc",NA,1,"1","1",NA,"",FALSE,NA,NA
2571,"SAT 1000",NA,NA,NA,"NAC","Heredia","Costa Rica",10.4319,-84.0218,"76",NA,"25.1","NAC","NAC","3892",NA,"","NaN","NaN","NaN"," Inceptisol  ",NA,NA,NA,NA,NA,NA,NA,NA,"Cifuentes-Jara_2008_abae",NA,NA,0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",1,"1",NA,NA,NA,TRUE,13930,FALSE
1642,"SAT 900",NA,NA,NA,"NAC","Heredia","Costa Rica",10.4315,-84.0205,"74",NA,"25.2","NAC","NAC","3892",NA,"NAC","NAC","NAC","NAC","Inceptisol",NA,"NAC",NA,"1","Neotropics","Am","Tropical rainforest",1286,"Cifuentes-Jara_2008_abae",NA,NA,NA,"Bonner_2013_amgc",NA,1,"1","1",NA,"",FALSE,NA,NA
2570,"SAT 900",NA,NA,NA,"NAC","Heredia","Costa Rica",10.4315,-84.0205,"74",NA,"25.2","NAC","NAC","3892",NA,"","NaN","NaN","NaN"," Inceptisol  ",NA,NA,NA,NA,NA,NA,NA,NA,"Cifuentes-Jara_2008_abae",NA,NA,0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",1,"1",NA,NA,NA,TRUE,13928,FALSE
1673,"SHO 750",NA,NA,NA,"NAC","Heredia","Costa Rica",10.417,-84.0036,"70",NA,"25.2","NAC","NAC","3892",NA,"NAC","NAC","NAC","NAC","Inceptisol",NA,"NAC",NA,"1","Neotropics","Am","Tropical rainforest",1292,"Cifuentes-Jara_2008_abae",NA,NA,NA,"Bonner_2013_amgc",NA,1,"1","1",NA,"",FALSE,NA,NA
2565,"SHO 750",NA,NA,NA,"NAC","Heredia","Costa Rica",10.417,-84.0036,"70",NA,"25.2","NAC","NAC","3892",NA,"","NaN","NaN","NaN"," Inceptisol  ",NA,NA,NA,NA,NA,NA,NA,NA,"Cifuentes-Jara_2008_abae",NA,NA,0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",1,"1",NA,NA,NA,TRUE,13934,FALSE
1792,"Terciopelo",NA,NA,NA,"NAC","Heredia","Costa Rica",10.427,-84.095,"140",NA,"24.8","NAC","NAC","3942",NA,"NAC","NAC","NAC","NAC","Ultisol",NA,"NAC",NA,"1","Neotropics","Am","Tropical rainforest",1293,"Cifuentes-Jara_2008_abae",NA,NA,NA,"Bonner_2013_amgc",NA,1,"1","1",NA,"",FALSE,NA,NA
2568,"Terciopelo",NA,NA,NA,"NAC","Heredia","Costa Rica",10.427,-84.095,"140",NA,"24.8","NAC","NAC","3942",NA,"","NaN","NaN","NaN"," Ultisol  ",NA,NA,NA,NA,NA,NA,NA,NA,"Cifuentes-Jara_2008_abae",NA,NA,0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",1,"1",NA,NA,NA,TRUE,13935,FALSE
1829,"Tirimbina",NA,NA,NA,"NAC","Heredia","Costa Rica",10.4025,-84.1125,"261",NA,"24.1","NAC","NAC","4017",NA,"NAC","NAC","NAC","NAC","Ultisol",NA,"NAC",NA,"1","Neotropics","Am","Tropical rainforest",1298,"Cifuentes-Jara_2008_abae",NA,NA,NA,"Bonner_2013_amgc",NA,1,"1","1",NA,"",FALSE,NA,NA
2563,"Tirimbina",NA,NA,NA,"NAC","Heredia","Costa Rica",10.4025,-84.1125,"261",NA,"24.1","NAC","NAC","4017",NA,"","NaN","NaN","NaN"," Ultisol  ",NA,NA,NA,NA,NA,NA,NA,NA,"Cifuentes-Jara_2008_abae",NA,NA,0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",1,"1",NA,NA,NA,TRUE,13940,FALSE
19,"Alatskivi 2",NA,NA,"","NAC","Tartu","Estonia",58.617,27.03,"NAC",NA,"5.4","NAC","NAC","675",NA,"sandy loam","NAC","NAC","NAC","Gleyic Umbrisol","Gleyic Umbrisol",NA,NA,"15","Palearctic","Dfb","Temperate continental forest",NA,"Uri_2012_bpac",NA,NA,NA,NA,NA,7,"1",NA,NA,"",FALSE,NA,NA
2599,"Alatskivi 2",NA,NA,NA,"NAC","Tartu","Estonia",58.616667,27.033333,"NAC",NA,"5.4","NAC","NAC","675",NA,"sandy loam","NaN","NaN","NaN","Gleyic Umbrisol",NA,NA,NA,NA,NA,NA,NA,NA,"Uri_2012_bpac",NA,NA,0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",7,"1",NA,NA,NA,TRUE,2042,FALSE
50,"Aleman",NA,NA,"","NAC","Alajuela","Costa Rica",10.3019,-84.7408,"962",NA,"21.6","NAC","NAC","5800",NA,"NAC","NAC","NAC","NAC","Andisol",NA,"NAC",NA,"32","Neotropics","Aw","Tropical rainforest",1306,"Cifuentes-Jara_2008_abae",NA,NA,NA,"Bonner_2013_amgc",NA,10,"1",NA,NA,"",FALSE,NA,NA
2560,"Aleman",NA,NA,NA,"NAC","Alajuela","Costa Rica",10.3019,-84.7408,"962",NA,"21.6","NAC","NAC","5800",NA,"","NaN","NaN","NaN","Andisol  ",NA,NA,NA,NA,NA,NA,NA,NA,"Cifuentes-Jara_2008_abae",NA,NA,0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",10,"1",NA,NA,NA,TRUE,13948,FALSE
295,"Cambronero",NA,NA,"","NAC","Alajuela","Costa Rica",10.2989,-84.7665,"1200",NA,"20.1","NAC","NAC","5300",NA,"NAC","NAC","NAC","NAC","Andisol",NA,"NAC",NA,"32","Neotropics","Aw","Tropical mountain system",1310,"Cifuentes-Jara_2008_abae",NA,NA,NA,"Bonner_2013_amgc",NA,10,"1",NA,NA,"",FALSE,NA,NA
2559,"Cambronero",NA,NA,NA,"NAC","Alajuela","Costa Rica",10.2989,-84.7665,"1200",NA,"20.1","NAC","NAC","5300",NA,"","NaN","NaN","NaN"," Andisol  ",NA,NA,NA,NA,NA,NA,NA,NA,"Cifuentes-Jara_2008_abae",NA,NA,0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",10,"1",NA,NA,NA,TRUE,13952,FALSE
419,"Cornelio",NA,NA,"","NAC","Alajuela","Costa Rica",10.297,-84.7515,"1044",NA,"21.1","NAC","NAC","5500",NA,"NAC","NAC","NAC","NAC","Andisol",NA,"NAC",NA,"32","Neotropics","Aw","Tropical rainforest",1307,"Cifuentes-Jara_2008_abae",NA,NA,NA,"Bonner_2013_amgc",NA,10,"1",NA,NA,"",FALSE,NA,NA
2556,"Cornelio",NA,NA,NA,"NAC","Alajuela","Costa Rica",10.297,-84.7515,"1044",NA,"21.1","NAC","NAC","5500",NA,"","NaN","NaN","NaN"," Andisol  ",NA,NA,NA,NA,NA,NA,NA,NA,"Cifuentes-Jara_2008_abae",NA,NA,0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",10,"1",NA,NA,NA,TRUE,13949,FALSE
533,"Dos Ases",NA,NA,"","NAC","Alajuela","Costa Rica",10.2975,-84.7621,"1150",NA,"20.4","NAC","NAC","5400",NA,"NAC","NAC","NAC","NAC","Andisol",NA,"NAC",NA,"32","Neotropics","Aw","Tropical rainforest",1309,"Cifuentes-Jara_2008_abae",NA,NA,NA,"Bonner_2013_amgc",NA,10,"1",NA,NA,"",FALSE,NA,NA
2557,"Dos Ases",NA,NA,NA,"NAC","Alajuela","Costa Rica",10.2975,-84.7621,"1150",NA,"20.4","NAC","NAC","5400",NA,"","NaN","NaN","NaN"," Andisol  ",NA,NA,NA,NA,NA,NA,NA,NA,"Cifuentes-Jara_2008_abae",NA,NA,0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",10,"1",NA,NA,NA,TRUE,13951,FALSE
1886,"Vargas",NA,NA,"","NAC","Alajuela","Costa Rica",10.2981,-84.7684,"1220",NA,"20","NAC","NAC","5300",NA,"NAC","NAC","NAC","NAC","Andisol",NA,"NAC",NA,"32","Neotropics","Aw","Tropical mountain system",1312,"Cifuentes-Jara_2008_abae",NA,NA,NA,"Bonner_2013_amgc",NA,10,"1",NA,NA,"",FALSE,NA,NA
2558,"Vargas",NA,NA,NA,"NAC","Alajuela","Costa Rica",10.2981,-84.7684,"1220",NA,"20","NAC","NAC","5300",NA,"","NaN","NaN","NaN"," Andisol  ",NA,NA,NA,NA,NA,NA,NA,NA,"Cifuentes-Jara_2008_abae",NA,NA,0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",10,"1",NA,NA,NA,TRUE,13954,FALSE
